"Season","Pitcher","Decision","Final score","Opponent","Location","Attendance","Ref(s)"
"2005","Liván Hernández","L","4–8","Philadelphia Phillies","Citizens Bank Park","44,080",""
"2006","Liván Hernández (2)","L","2–3","New York Mets","Shea Stadium","54,371",""
"2007","John Patterson","L","2–9","Florida Marlins","Robert F. Kennedy Stadium","40,389",""
"2008","Odalis Pérez","ND (W)","3–2","Atlanta Braves","Nationals Park","39,389",""
"2009","John Lannan","L","6–12","Florida Marlins","Dolphin Stadium","34,323",""
"2010","John Lannan (2)","L","1–11","Philadelphia Phillies","Nationals Park","41,290",""
"2011","Liván Hernández (3)","L","0–2","Atlanta Braves","Nationals Park","39,055",""
"2012","Stephen Strasburg","ND (W)","2–1","Chicago Cubs","Wrigley Field","41,176",""
"2013","Stephen Strasburg (2)","W","2–0","Miami Marlins","Nationals Park","45,274",""
"2014","Stephen Strasburg (3)","ND (W)","9–7","New York Mets","CitiField","42,442",""
"2015","Max Scherzer","L","1–3","New York Mets","Nationals Park","42,295",""
"2016","Max Scherzer (2)","ND (W)","4–3","Atlanta Braves","Turner Field","48,282",""
"2017","Stephen Strasburg (4)","W","4–2","Miami Marlins","Nationals Park","42,744",""
"2018","Max Scherzer (3)","W","2–0","Cincinnati Reds","Great American Ball Park","43,878",""
"2019","Max Scherzer (4)","L","0–2","New York Mets","Nationals Park","42,263",""
