"Draw","Country","Artist","Song","Language","Place","Points"
"01","Sweden","Herreys","%INLINEQ%Diggi-Loo Diggi-Ley%INLINEQ%","Swedish","1","145"
"02","Luxembourg","Sophie Carle","%INLINEQ%100% d'amour%INLINEQ%","French","10","39"
"03","France","Annick Thoumazeau","%INLINEQ%Autant d'amoureux que d'étoiles%INLINEQ%","French","8","61"
"04","Spain","Bravo","%INLINEQ%Lady, Lady%INLINEQ%","Spanish","3","106"
"05","Norway","Dollie de Luxe","%INLINEQ%Lenge leve livet%INLINEQ%","Norwegian","17","29"
"06","United Kingdom","Belle and the Devotions","%INLINEQ%Love Games%INLINEQ%","English","7","63"
"07","Cyprus","Andy Paul","%INLINEQ%Anna Maria Lena%INLINEQ% (Άννα Μαρία Λένα)","Greek","15","31"
"08","Belgium","Jacques Zegers","%INLINEQ%Avanti la vie%INLINEQ%","French","5","70"
"09","Ireland","Linda Martin","%INLINEQ%Terminal 3%INLINEQ%","English","2","137"
"10","Denmark","Hot Eyes","%INLINEQ%Det' lige det%INLINEQ%","Danish","4","101"
"11","Netherlands","Maribelle","%INLINEQ%Ik hou van jou%INLINEQ%","Dutch","13","34"
"12","Yugoslavia","Vlado & Isolda","%INLINEQ%Ciao, amore%INLINEQ%","Serbo-Croatian","18","26"
"13","Austria","Anita","%INLINEQ%Einfach weg%INLINEQ%","German","19","5"
"14","Germany","Mary Roos","%INLINEQ%Aufrecht geh'n%INLINEQ%","German","13","34"
"15","Turkey","Beş Yıl Önce, On Yıl Sonra","%INLINEQ%Halay%INLINEQ%","Turkish","12","37"
"16","Finland","Kirka","%INLINEQ%Hengaillaan%INLINEQ%","Finnish","9","46"
"17","Switzerland","Rainy Day","%INLINEQ%Welche Farbe hat der Sonnenschein?%INLINEQ%","German","16","30"
"18","Italy","Alice & Franco Battiato","%INLINEQ%I treni di Tozeur%INLINEQ%","Italian","5","70"
"19","Portugal","Maria Guinot","%INLINEQ%Silêncio e tanta gente%INLINEQ%","Portuguese","11","38"
