"No.","Year","Song","Film/Album","Music",""
"1","2012","Habeebi","Music Video","Ashraf Manjeri",""
"2","2012","Marhaban","Music Video","Retheesh Roy",""
"3","2013","Freedom Era","Music Video","Retheesh Roy",""
"4","2015","Njan Oru Minnal Kodi","Sand City","Rinil Gowtham",""
"5","2015","Theechoodi Theechoodi","Sand City","Rinil Gowtham",""
"6","2015","Theeyaga Theeyaga","Manal Naharam","Rinil Gowtham",""
"7","2016","Moovanthikkatte","Kanthari","Rinil Gowtham",""
"8","2016","Onnanam Kunninmel","Onnanam Kunninmel","Shyam Dharman",""
"9","2016","Dubai Days","Music Video","Rinil Gowtham",""
"10","2017","Mazhavillu","Music Video","Rinil Gowtham",""
"11","2017","Aakaasha Kuda","Oru Mexican Aparatha","Manikandan Iyyappan",""
"12","2017","Diamond for you","Music Video","Nikhil R Nair",""
"13","2018","Diamond for you-2","Music Video","Retheesh Roy",""
