"Rank","Airport","Location","Country","Code (IATA/ICAO)","Total passengers","% Change"
"1.","China Beijing Capital International Airport","Chaoyang-Shunyi, Beijing","China","PEK/ZBAA","90,203,000","4.4%"
"2.","United Arab Emirates Dubai International Airport","Garhoud, Dubai","United Arab Emirates","DXB/OMDB","78,014,838","10.7%"
"3.","Japan Tokyo Haneda Airport","Ōta, Tokyo","Japan","HND/RJTT","75,300,000","3.5%"
"4.","Hong Kong Hong Kong International Airport","Chek Lap Kok, Islands","Hong Kong","HKG/VHHH","68,488,000","8.1%"
"5.","China Shanghai Pudong International Airport","Pudong, Shanghai","China","PVG/ZSPD","59,700,000","17.7%"
"6.","Indonesia Soekarno-Hatta International Airport","Cengkareng, Banten","Indonesia","CGK/WIII","57,000,000","0%"
"7.","Singapore Singapore Changi Airport","Changi, East","Singapore","SIN/WSSS","55,448,964","2.5%"
"8.","China Guangzhou Baiyun International Airport","Baiyun-Huadu, Guangzhou, Guangdong","China","CAN/ZGGG","55,200,000","0.8%"
"9.","Thailand Suvarnabhumi Airport","Bang Phli, Samut Prakan","Thailand","BKK/VTBS","52,918,785","14.8%"
"10.","South Korea Seoul Incheon International Airport","Jung, Incheon","Republic of Korea","ICN/RKSI","49,281,220","8.3%"
"11.","Malaysia Kuala Lumpur International Airport","Sepang, Selangor","Malaysia","KUL/WMKK","48,915,655","0%"
"12.","India Indira Gandhi International Airport","Delhi","India","DEL/VIDP","45,981,165","18%"
"13.","China Chengdu Shuangliu International Airport","Shuangliu-Wuhou, Chengdu, Sichuan","China","CTU/ZUUU","42,244,842","12.0%"
"14.","India Chhatrapati Shivaji International Airport","Mumbai, Maharashtra","India","BOM/VABB","40,637,377","16.1%"
"15.","China Shenzhen Bao'an International Airport","Bao'an, Shenzhen, Guangdong","China","SZX/ZGSZ","39,721,619","9.5%"
"16.","China Shanghai Hongqiao International Airport","Changning-Minhang, Shanghai","China","SHA/ZSSS","39,090,699","3.0%"
"17.","Taiwan Taiwan Taoyuan International Airport","Dayuan, Taoyuan","Republic of China","TPE/RCTP","38,473,333","7.5%"
"18.","China Kunming Changshui International Airport","Guandu District, Kunming, Yunnan","China","KMG/ZPPP","37,523,345","16.0%"
"19.","Japan Narita International Airport","Narita, Chiba","Japan","NRT/RJAA","37,268,307","4.9%"
"20.","Philippines Ninoy Aquino International Airport","Pasay/Parañaque, Metro Manila","Philippines","MNL/RPLL","36,583,459","7.3%"
