"From","To","Name","","Party"
"2000","2001","Sammy Wilson","","DUP"
"2001","2002","Jim Rodgers","","UUP"
"2002","2003","Alex Maskey","","Sinn Féin"
"2003","2004","Martin Morgan","","SDLP"
"2004","2005","Tom Ekin","","Alliance"
"2005","2006","Wallace Browne","","DUP"
"2006","2007","Patrick McCarthy","","SDLP"
"2007","2008","Jim Rodgers","","UUP"
"2008","2009","Tom Hartley","","Sinn Féin"
"2009","2010","Naomi Long","","Alliance"
"2010","2011","Pat Convery","","SDLP"
"2011","2012","Niall Ó Donnghaile","","Sinn Féin"
"2012","2013","Gavin Robinson","","DUP"
"2013","2014","Máirtín Ó Muilleoir","","Sinn Féin"
"2014","2015","Nichola Mallon","","SDLP"
"2015","2016","Arder Carson","","Sinn Féin"
"2016","2017","Brian Kingston","","DUP"
"2017","2018","Nuala McAllister","","Alliance"
"2018","2019","Deirdre Hargey","","Sinn Féin"
