"No.","Title","Artist","Peak position","Sales"
"1","Back to Black","Amy Winehouse","1","1,586,194"
"2","Spirit","Leona Lewis","1","1,550,037"
"3","Life in Cartoon Motion","Mika","1","1,173,044"
"4","Beautiful World","Take That","1","1,080,332"
"5","Back Home","Westlife","1","854,344"
"6","Long Road Out of Eden","Eagles","1","679,831"
"7","Yours Truly, Angry Mob","Kaiser Chiefs","1",""
"8","Favourite Worst Nightmare","Arctic Monkeys","1",""
"9","Shock Value","Timbaland","2",""
"10","Good Girl Gone Bad","Rihanna","1",""
"11","Eyes Open","Snow Patrol","3",""
"12","Version","Mark Ronson","2",""
"13","All the Lost Souls","James Blunt","1",""
"14","Loose","Nelly Furtado","4",""
"15","Echoes, Silence, Patience & Grace","Foo Fighters","1",""
"16","FutureSex/LoveSounds","Justin Timberlake","6",""
"17","Mothership","Led Zeppelin","4",""
"18","Call Me Irresponsible (Special Edition)","Michael Bublé","2",""
"19","The Best of Andrea Bocelli: Vivere","Andrea Bocelli","4",""
"20","Hand Built by Robots","Newton Faulkner","1","373,268"
"21","The Ultimate Collection","Whitney Houston","3",""
"22","Every Time We Touch","Cascada","2",""
"23","Undiscovered","James Morrison","2",""
"24","Sam's Town","The Killers","6",""
"25","Costello Music","The Fratellis","2",""
"26","Alright, Still","Lily Allen","2",""
"27","Breathless","Shayne Ward","2",""
"28","The Traveling Wilburys Collection","Traveling Wilburys","1",""
"29","These Streets","Paolo Nutini","3",""
"30","The Trick to Life","The Hoosiers","1",""
"31","Because of the Times","Kings of Leon","1",""
"32","Change","Sugababes","1",""
"33","How to Save a Life","The Fray","4",""
"34","The Best Damn Thing","Avril Lavigne","1",""
"35","Never Forget","Take That","2",""
"36","One Chance","Paul Potts","1",""
"37","Frank","Amy Winehouse","13",""
"38","Made of Bricks","Kate Nash","1",""
"39","Hits","Phil Collins","7",""
"40","Infinity on High","Fall Out Boy","3",""
"41","Complete Clapton","Eric Clapton","2",""
"42","Greatest Hits","Spice Girls","2",""
"43","Razorlight","Razorlight","4",""
"44","Minutes to Midnight","Linkin Park","1",""
"45","Hats Off to the Buskers","The View","1",""
"46","I'm Not Dead","Pink","6",""
"47","This Is the Life","Amy Macdonald","2",""
"48","It Won't Be Soon Before Long","Maroon 5","1",""
"49","Pictures","Katie Melua","2",""
"50","Rejoice","Katherine Jenkins","3",""
