"Draw","Country","Artist","Song","Language","Place","Points"
"01","Azerbaijan","Safura","%INLINEQ%Drip Drop%INLINEQ%","English","5","145"
"02[A]","Spain","Daniel Diges","%INLINEQ%Algo Pequeñito%INLINEQ%","Spanish","15","68"
"03","Norway","Didrik Solli-Tangen","%INLINEQ%My Heart Is Yours%INLINEQ%","English","20","35"
"04","Moldova","SunStroke Project and Olia Tira","%INLINEQ%Run Away%INLINEQ%","English","22","27"
"05","Cyprus","Jon Lilygreen and The Islanders","%INLINEQ%Life Looks Better in Spring%INLINEQ%","English","21","27"
"06","Bosnia and Herzegovina","Vukašin Brajić","%INLINEQ%Thunder and Lightning%INLINEQ%","English","17","51"
"07","Belgium","Tom Dice","%INLINEQ%Me and My Guitar%INLINEQ%","English","6","143"
"08","Serbia","Milan Stanković","%INLINEQ%Ovo je Balkan%INLINEQ% (Oво je Балкан)","Serbian","13","72"
"09","Belarus","3+2 feat Robert Wells","%INLINEQ%Butterflies%INLINEQ%","English","24","18"
"10","Ireland","Niamh Kavanagh","%INLINEQ%It's for You%INLINEQ%","English","23","25"
"11","Greece","Giorgos Alkaios and Friends","%INLINEQ%OPA%INLINEQ% (ΩΠΑ)","Greek","8","140"
"12","United Kingdom","Josh Dubovie","%INLINEQ%That Sounds Good to Me%INLINEQ%","English","25","10"
"13","Georgia","Sofia Nizharadze","%INLINEQ%Shine%INLINEQ%","English","9","136"
"14","Turkey","maNga","%INLINEQ%We Could Be the Same%INLINEQ%","English","2","170"
"15","Albania","Juliana Pasha","%INLINEQ%It's All About You%INLINEQ%","English","16","62"
"16","Iceland","Hera Björk","%INLINEQ%Je ne sais quoi%INLINEQ%","English","19","41"
"17","Ukraine","Alyosha","%INLINEQ%Sweet People%INLINEQ%","English","10","108"
"18","France","Jessy Matador","%INLINEQ%Allez Ola Olé%INLINEQ%","French","12","82"
"19","Romania","Paula Seling and Ovi","%INLINEQ%Playing with Fire%INLINEQ%","English","3","162"
"20","Russia","Peter Nalitch and Friends","%INLINEQ%Lost and Forgotten%INLINEQ%","English","11","90"
"21","Armenia","Eva Rivas","%INLINEQ%Apricot Stone%INLINEQ%","English","7","141"
"22","Germany","Lena","%INLINEQ%Satellite%INLINEQ%","English","1","246"
"23","Portugal","Filipa Azevedo","%INLINEQ%Há dias assim%INLINEQ%","Portuguese","18","43"
"24","Israel","Harel Skaat","%INLINEQ%Milim%INLINEQ% (מילים)","Hebrew","14","71"
"25","Denmark","Chanée and N'evergreen","%INLINEQ%In a Moment Like This%INLINEQ%","English","4","149"
