"Year","Team","Co-Drivers","Car","Class","Laps","Pos.","Class Pos."
"2006","France Paul Belmondo Racing","France Claude-Yves Gosselin Saudi Arabia Karim Ojjeh","Courage C65-Ford","LMP2","84","DNF","DNF"
"2008","France Saulnier Racing","China Cheng Congfu France Matthieu Lahaye","Pescarolo 01-Judd","LMP2","333","18th","3rd"
"2009","France Signature-Plus","France Franck Mailleux France Didier André","Courage-Oreca LC70E-Judd","LMP1","344","11th","10th"
"2010","France Signature-Plus","France Franck Mailleux Belgium Vanina Ickx","Lola-Aston Martin B09/60","LMP1","302","DNF","DNF"
"2011","France OAK Racing","France Guillaume Moreau Portugal Tiago Monteiro","OAK Pescarolo 01 Evo-Judd","LMP1","80","DNF","DNF"
"2012","France Signatech-Nissan","France Nelson Panciatici Russia Roman Rusinov","Oreca 03-Nissan","LMP2","351","10th","4th"
"2013","France Signatech-Alpine","France Nelson Panciatici France Tristan Gommendy","Alpine A450-Nissan","LMP2","317","14th","8th"
"2014","France Larbre Compétition","Japan Keiko Ihara United States Ricky Taylor","Morgan LMP2-Judd","LMP2","341","14th","9th"
"2015","Switzerland Team SARD-Morand","United Kingdom Oliver Webb Switzerland Zoël Amberg","Morgan LMP2 Evo-SARD","LMP2","162","DNF","DNF"
"2016","France Larbre Compétition","France Jean-Philippe Belloc Japan Yutaka Yamagishi","Chevrolet Corvette C7.R","GTE Am","316","37th","8th"
"2017","France Signatech Alpine Matmut","France Nelson Panciatici Brazil André Negrão","Alpine A470-Gibson","LMP2","362","4th","3rd"
