"Season","Champion","Motorcycle","Wins","Team"
"1976","United Kingdom Reg Pridmore","BMW","2","Butler & Smith"
"1977","United Kingdom Reg Pridmore","Kawasaki","1","Racecrafters"
"1978","United Kingdom Reg Pridmore","Kawasaki","0","Vetter"
"1979","United States Wes Cooley","Suzuki","0","Yoshimura"
"1980","United States Wes Cooley","Suzuki","3","Yoshimura"
"1981","United States Eddie Lawson","Kawasaki","4","Team Muzzy"
"1982","United States Eddie Lawson","Kawasaki","5","Team Muzzy"
"1983","United States Wayne Rainey","Kawasaki","6","Team Muzzy"
"1984","United States Fred Merkel","Honda","10","American Honda"
"1985","United States Fred Merkel","Honda","6","American Honda"
"1986","United States Fred Merkel","Honda","2","American Honda"
"1987","United States Wayne Rainey","Honda","3","American Honda"
"1988","United States Bubba Shobert","Honda","3","American Honda"
"1989","United States Jamie James","Suzuki","1","Yoshimura"
"1990","United States Doug Chandler","Kawasaki","4","Team Muzzy"
"1991","United States Thomas Stevens","Yamaha","1","Vance & Hines"
"1992","United States Scott Russell","Kawasaki","3","Team Muzzy"
"1993","United States Doug Polen","Ducati","6","Fast by Ferracci"
"1994","Australia Troy Corser","Ducati","3","Fast by Ferracci"
"1995","Canada Miguel Duhamel","Honda","6","Commonwealth Racing"
"1996","United States Doug Chandler","Kawasaki","2","Team Muzzy"
"1997","United States Doug Chandler","Kawasaki","1","Team Muzzy"
"1998","United States Ben Bostrom","Honda","0","American Honda"
"1999","Australia Mat Mladin","Suzuki","1","Yoshimura"
"2000","Australia Mat Mladin","Suzuki","4","Yoshimura"
"2001","Australia Mat Mladin","Suzuki","4","Yoshimura"
"2002","United States Nicky Hayden","Honda","9","American Honda"
"2003","Australia Mat Mladin","Suzuki","10","Yoshimura"
"2004","Australia Mat Mladin","Suzuki","8","Yoshimura"
"2005","Australia Mat Mladin","Suzuki","11","Yoshimura"
"2006","United States Ben Spies","Suzuki","10","Yoshimura"
"2007","United States Ben Spies","Suzuki","7","Yoshimura"
"2008","United States Ben Spies","Suzuki","7","Yoshimura"
"2009","Australia Mat Mladin","Suzuki","10","Yoshimura"
"2010","United States Josh Hayes","Yamaha","7","Yamaha Factory Racing"
"2011","United States Josh Hayes","Yamaha","3","Yamaha Factory Racing"
"2012","United States Josh Hayes","Yamaha","16","Yamaha Factory Racing"
"2013","United States Josh Herrin","Yamaha","4","Yamaha Factory Racing"
"2014","United States Josh Hayes","Yamaha","7","Yamaha Factory Racing"
"2015","United States Cameron Beaubier","Yamaha","8","Yamaha Factory Racing"
"2016","United States Cameron Beaubier","Yamaha","8","Yamaha Factory Racing"
"2017","Spain Toni Elías","Suzuki","10","Yoshimura"
"2018","United States Cameron Beaubier","Yamaha","7","Yamaha Factory Racing"
