"Artist","Single","Released","Sales (in millions)","Source"
"Tino Rossi",""Petit Papa Noël"","1946","5.7",""
"Christina Aguilera, Lil' Kim, Mýa and Pink",""Lady Marmalade"","2001","5.5",""
"1910 Fruitgum Company",""Simon Says"","1967","5",""
"ABBA",""Waterloo"","1974","5",""
"Gene Austin",""My Blue Heaven"","1927","5",""
"Gene Autry",""That Silver-Haired Daddy of Mine"","1935","5",""
"The Beatles",""She Loves You"","1963","5",""
"Bee Gees",""Massachusetts"","1967","5",""
"Culture Club",""Karma Chameleon"","1983","5",""
"Enigma",""Sadeness (Part I)"","1990","5",""
"Engelbert Humperdinck",""Release Me"","1967","5",""
"Terry Jacks",""Seasons in the Sun"","1974","5",""
"The Jackson 5",""I'll Be There"","1970","5",""
"Tommy James and the Shondells",""Crimson and Clover"","1968","5",""
"Tom Jones",""Delilah"","1968","5",""
"Jerry Lee Lewis",""Great Balls of Fire"","1957","5",""
"Kaoma",""Lambada"","1989","5",""
"Madonna",""Like a Prayer"","1989","5",""
"Ricky Martin",""María"","1995","5",""
"Michael Zager Band",""Let's All Chant"","1977","5",""
"Mitch Miller",""March from the River Kwai"","1957","5",""
"Kylie Minogue",""Can't Get You Out of My Head"","2001","5",""
"The Monkees",""Daydream Believer"","1967","5",""
"Musical Youth",""Pass the Dutchie"","1982","5",""
"The Partridge Family",""I Think I Love You"","1970","5",""
"Elvis Presley",""Are You Lonesome Tonight?"","1960","5",""
"Elvis Presley",""Surrender"","1961","5",""
"Jeannie C. Riley",""Harper Valley PTA"","1968","5",""
"Nini Rosso",""Il Silenzio"","1965","5",""
"David Seville and the Chipmunks",""The Chipmunk Song (Christmas Don't Be Late)"","1958","5",""
"Staff Sergeant Barry Sadler",""Ballad of the Green Berets"","1966","5",""
"Billy Swan",""I Can Help"","1974","5",""
"Three Dog Night",""Joy to the World"","1971","5",""
"The Tornados",""Telstar"","1962","5",""
