"Draw","Country","Artist","Song","Language","Place","Points"
"01","Spain","Conchita Bautista","%INLINEQ%Estando contigo%INLINEQ%","Spanish","9","8"
"02","Monaco","Colette Deréal","%INLINEQ%Allons, allons les enfants%INLINEQ%","French","10","6"
"03","Austria","Jimmy Makulis","%INLINEQ%Sehnsucht%INLINEQ%","German","15","1"
"04","Finland","Laila Kinnunen","%INLINEQ%Valoa ikkunassa%INLINEQ%","Finnish","10","6"
"05","Yugoslavia","Ljiljana Petrović","%INLINEQ%Neke davne zvezde%INLINEQ% (Неке давне звезде)","Serbian","8","9"
"06","Netherlands","Greetje Kauffeld","%INLINEQ%Wat een dag%INLINEQ%","Dutch","10","6"
"07","Sweden","Lill-Babs","%INLINEQ%April, april%INLINEQ%","Swedish","14","2"
"08","Germany","Lale Andersen","%INLINEQ%Einmal sehen wir uns wieder%INLINEQ%","German, French","13","3"
"09","France","Jean-Paul Mauric","%INLINEQ%Printemps, avril carillonne%INLINEQ%","French","4","13"
"10","Switzerland","Franca di Rienzo","%INLINEQ%Nous aurons demain%INLINEQ%","French","3","16"
"11","Belgium","Bob Benny","%INLINEQ%September, gouden roos%INLINEQ%","Dutch","15","1"
"12","Norway","Nora Brockstedt","%INLINEQ%Sommer i Palma%INLINEQ%","Norwegian","7","10"
"13","Denmark","Dario Campeotto","%INLINEQ%Angelique%INLINEQ%","Danish","5","12"
"14","Luxembourg","Jean-Claude Pascal","%INLINEQ%Nous les amoureux%INLINEQ%","French","1","31"
"15","United Kingdom","The Allisons","%INLINEQ%Are You Sure?%INLINEQ%","English","2","24"
"16","Italy","Betty Curtis","%INLINEQ%Al di là%INLINEQ%","Italian","5","12"
