"Club","League","Venue","Location","Founded","Titles","Local Cable Network"
"New York Giants","NFL Football","MetLife Stadium","East Rutherford, New Jersey","1925","8","MSG Network"
"New York Jets","NFL Football","MetLife Stadium","East Rutherford, New Jersey","1960","1","SportsNet New York"
"New York Yankees","MLB Baseball","Yankee Stadium","Bronx, New York","1901","27","YES Network"
"New York Mets","MLB Baseball","Citi Field","Queens, New York","1962","2","SportsNet New York"
"New York Knicks","NBA Basketball","Madison Square Garden","Manhattan, New York","1946","2","MSG Network"
"Brooklyn Nets","NBA Basketball","Barclays Center","Brooklyn, New York","1967","2","YES Network"
"New York Rangers","NHL Hockey","Madison Square Garden","Manhattan, New York","1926","4","MSG Network"
"New York Islanders","NHL Hockey","Barclays Center/Nassau Coliseum","Brooklyn, New York/Uniondale, New York","1972","4","MSG Plus"
"New Jersey Devils","NHL Hockey","Prudential Center","Newark, New Jersey","1974","3","MSG Plus"
"New York Red Bulls","MLS Soccer","Red Bull Arena","Harrison, New Jersey","1995","0","MSG Network"
"New York City FC","MLS Soccer","Yankee Stadium","Bronx, New York","2013","0","YES Network"
