"Draw","Country","Artist","Song","Language","Place","Points"
"01","Sweden","Eliias","%INLINEQ%Det är dit vi ska%INLINEQ%","Swedish","9","46"
"02","Azerbaijan","Rustam Karimov","%INLINEQ%Me and My Guitar%INLINEQ%","Azerbaijani, English","7","66"
"03","Armenia","Monica Avanesyan","%INLINEQ%Choco Factory%INLINEQ%","Armenian, English","6","69"
"04","San Marino","Michele Perniola","%INLINEQ%O-o-O Sole intorno a me%INLINEQ%","Italian","10","42"
"05","Macedonia","Barbara Popović","%INLINEQ%Ohrid i muzika%INLINEQ% (Охрид и музика)","Macedonian","12","19"
"06","Ukraine","Sofia Tarasova","%INLINEQ%We Are One%INLINEQ%","Ukrainian, English","2","121"
"07","Belarus","Ilya Volkov","%INLINEQ%Poy so mnoy%INLINEQ% (Пой со мной)","Russian","3","108"
"08","Moldova","Rafael Bobeica","%INLINEQ%Cum să fim%INLINEQ%","Romanian, English","11","41"
"09","Georgia","The Smile Shop","%INLINEQ%Give Me Your Smile%INLINEQ%","Georgian, English","5","91"
"10","Netherlands","Mylène and Rosanne","%INLINEQ%Double Me%INLINEQ%","Dutch, English","8","59"
"11","Malta","Gaia Cauchi","%INLINEQ%The Start%INLINEQ%","English","1","130"
"12","Russia","Dayana Kirillova","%INLINEQ%Dream On%INLINEQ%","Russian","4","106"
