"Club","Location","Stadium","First season","Current spell","Seasons","Last title"
"Daegu FC","Daegu","DGB Daegu Bank Park","2003","2017–","14","—"
"Gangwon FC","Gangwon","Chuncheon Songam Stadium","2009","2017–","8","—"
"Gyeongnam FC","Changwon","Changwon Football Center","2006","2018–","11","—"
"Incheon United","Incheon","Incheon Football Stadium","2004","2004–","16","—"
"Jeju United","Jeju","Jeju World Cup Stadium","1983","1983–","37","1989"
"Jeonbuk Hyundai Motors","North Jeolla","Jeonju World Cup Stadium","1995","1995–","25","2018"
"Pohang Steelers","Pohang","Pohang Steel Yard","1983","1983–","37","2013"
"Sangju Sangmu","Sangju","Sangju Civic Stadium","2011","2016–","7","—"
"Seongnam FC","Seongnam","Tancheon Stadium","1987","2019–","29","2006"
"FC Seoul","Seoul","Seoul World Cup Stadium","1984","1984–","36","2016"
"Suwon Samsung Bluewings","Suwon","Suwon World Cup Stadium","1996","1996–","24","2008"
"Ulsan Hyundai","Ulsan","Ulsan Munsu Football Stadium","1984","1984–","36","2005"
