"Artist","Single","Released","Sales (in millions)","Source"
"Maroon 5 featuring Cardi B","%INLINEQ%Girls Like You%INLINEQ%","2018","11.9",""
"Justin Bieber","%INLINEQ%Love Yourself%INLINEQ%","2015","11.7",""
"Avicii featuring Aloe Blacc","%INLINEQ%Wake Me Up%INLINEQ%","2013","11.1",""
"Sia feat. Sean Paul","%INLINEQ%Cheap Thrills%INLINEQ%","2016","11.1",""
"Katy Perry","%INLINEQ%Firework%INLINEQ%","2010","11","[unreliable source?]"
"Meghan Trainor","%INLINEQ%All About That Bass%INLINEQ%","2014","11",""
"Tia Ray","%INLINEQ%Be Apart%INLINEQ%","2018","10.9",""
"Idina Menzel","%INLINEQ%Let It Go%INLINEQ%","2013","10.9",""
"Justin Bieber","%INLINEQ%Sorry%INLINEQ%","2015","10.8",""
"Rihanna featuring Drake","%INLINEQ%Work%INLINEQ%","2016","10.6",""
"Lukas Graham","%INLINEQ%7 Years%INLINEQ%","2015","10.4",""
"Bruno Mars","%INLINEQ%Grenade%INLINEQ%","2010","10.2",""
"The Chainsmokers featuring Daya","%INLINEQ%Don't Let Me Down%INLINEQ%","2016","10.2",""
"Lorde","%INLINEQ%Royals%INLINEQ%","2013","10",""
"Mike Posner","%INLINEQ%I Took a Pill in Ibiza%INLINEQ%","2015","10",""
"Shakira featuring Freshlyground","%INLINEQ%Waka Waka (This Time for Africa)%INLINEQ%","2010","10",""
"Shakira featuring Wyclef Jean","%INLINEQ%Hips Don't Lie%INLINEQ%","2006","10",""
"Alexandra Stan","%INLINEQ%Mr. Saxobeat%INLINEQ%","2011","10",""
