"Rank","Name","Image","Height m","Floors","Year started","Year finished","Use"
"1","Jordan Gate Office Tower","-","200","41","2005","Construction paused","Commercial"
"2","Jordan Gate Hilton","-","180","39","2005","Construction paused","Hotel"
"3","Rotana Amman","-","185","50","2010","2016","Hotel"
"4","W Amman","-","150","40","2013","2017","Hotel"
"5","The Heights Tower","-","125","38","2008","2015","Residential"
"6","Clemenceau Medical Center","-","125","36","2015","Under construction","Medical"
"7","Le Royal Hotel","-","108","31","2001","2003","Hotel"
"8","Al-Iskan Bank Building","-","98","21","1980","1982","Offices"
"9","Al Burj","-","91","22","1979","1982","Offices"
"10","Regency Palace Hotel","Z Housing Bank Amman JO 10.JPG","90","19","1980","1982","Hotel"
"11","Zara Tower 1","Zara Towers.JPG","89","19","2000","2002","Offices"
"12","Zara Tower 2","Zara Towers.JPG","85","16","2000","2002","Offices"
"13","Royal Jordanian Headquarters","-","85","18","2010","2013","Offices"
"14","Emmar Towers","-","85","18","2005","2009","Offices"
"15","AJIB Bank","","80","16","2012","2015","Offices"
"16","Sheraton Hotel","-","77","17","2000","2003","Hotel"
"17","Four Seasons Hotel","-","72","17","2000","2003","Hotel"
"18","Abdali Gateway","","70","24","2012","2015","Offices"
"19","Grand Millennium Hotel","","70","16","2010","2013","Hotel"
"24","Marriott Hotel","-","69","14","2002","2004","Hotel"
"20","Fairmont Hotel Amman","","68","14","2012","2016","Hotel"
"21","King Hussein Cancer Center","-","65","12","2012","2016","Medical"
"22","Le Meridien Hotel","-","65","13","2000","2002","Hotel"
"23","Arab Bank Headquarters","Arab Bank HQ3.JPG","65","12","2002","2004","Offices"
