"#","Date","Visitor","Score","Home","OT","Decision","Attendance","Record","Pts"
"39","January 3","Florida","4 – 3","NY Islanders","OT","DiPietro","11,428","20–16–3","43"
"40","January 5","NY Islanders","1 – 2","Colorado","OT","DiPietro","17,154","20–16–4","44"
"41","January 7","NY Islanders","0 – 4","Edmonton","","DiPietro","16,839","20–17–4","44"
"42","January 8","NY Islanders","2 – 3","Vancouver","SO","DiPietro","18,630","20–17–5","45"
"43","January 11","NY Islanders","5 – 4","Calgary","SO","DiPietro","19,289","21–17–5","47"
"44","January 13","NY Islanders","3 – 1","Ottawa","","DiPietro","19,804","22–17–5","49"
"45","January 15","Montreal","3 – 1","NY Islanders","","DiPietro","11,439","22–18–5","49"
"46","January 16","NY Islanders","3 – 1","New Jersey","","DiPietro","15,975","23–18–5","51"
"47","January 19","Philadelphia","5 – 3","NY Islanders","","DiPietro","16,234","23–19–5","51"
"48","January 21","Carolina","3 – 2","NY Islanders","OT","DiPietro","16,234","23–19–6","52"
"49","January 22","NY Islanders","6 – 3","Carolina","","Dubielewicz","15,675","24–19–6","54"
"50","January 24","NY Islanders","1 – 4","Boston","","DiPietro","13,461","24–20–6","54"
"51","January 29","Ottawa","5 – 2","NY Islanders","","DiPietro","9,546","24–21–6","54"
"52","January 31","Los Angeles","3 – 1","NY Islanders","","Dubielewicz","10,148","24–22–6","54"
