"#","Event year","Season","Flag bearer","Sport"
"41","2018","Winter","Lucas Eguibar","Snowboarding"
"40","2016","Summer","Rafael Nadal","Tennis"
"39","2014","Winter","Javier Fernández","Figure skating"
"38","2012","Summer","Pau Gasol","Basketball"
"37","2010","Winter","Queralt Castellet","Snowboarding"
"36","2008","Summer","David Cal","Canoeing"
"35","2006","Winter","María José Rienda","Alpine skiing"
"34","2004","Summer","Isabel Fernández","Judo"
"33","2002","Winter","Iker Fernández","Snowboarding"
"32","2000","Summer","Manuel Estiarte","Waterpolo"
"31","1998","Winter","Juan Jesús Gutiérrez","Cross country skiing"
"30","1996","Summer","Luis Doreste","Sailing"
"29","1994","Winter","Ainhoa Ibarra","Alpine skiing"
"28","1992","Summer","Felipe, Prince of Asturias","Sailing"
"27","1992","Winter","Blanca Fernández Ochoa","Alpine skiing"
"26","1988","Summer","Infanta Cristina of Spain","Sailing"
"25","1988","Winter","Ainhoa Ibarra","Alpine skiing"
"24","1984","Summer","Alejandro Abascal","Sailing"
"23","1984","Winter","Blanca Fernández Ochoa","Alpine skiing"
"22","1980","Summer","Herminio Menéndez","Canoeing"
"21","1980","Winter","Francisco Fernández Ochoa","Alpine skiing"
"20","1976","Summer","Enrique Rodríguez","Boxing"
"19","1976","Winter","Francisco Fernández Ochoa","Alpine skiing"
"18","1972","Summer","Francisco Fernández Ochoa","Alpine skiing"
"17","1972","Winter","Francisco Fernández Ochoa","Alpine skiing"
"16","1968","Summer","Gonzalo Fernández","Sailing"
"15","1968","Winter","Aurelio García","Alpine skiing"
"14","1964","Summer","Eduardo Dualde","Field hockey"
"13","1964","Winter","Jorge Rodríguez","Alpine skiing"
"12","1960","Summer","Jaime Belenguer","Gymnastics"
"11","1960","Winter","Luis Sánchez","Alpine skiing"
"10","1956","Winter","Luis Arias","Alpine skiing"
"9","1952","Summer","Luis Omedes","Rowing"
"8","1952","Winter","Luis Arias","Alpine skiing"
"7","1948","Summer","Fabián Vicente","Boxing"
"6","1948","Winter","José Arias","Alpine skiing"
"5","1936","Winter","Jesús Suárez-Valgrande","Alpine skiing"
"4","1932","Summer","Julio Castro","Shooting"
"3","1928","Summer","Diego Ordóñez","Athletics"
"2","1924","Summer","Félix Mendizábal","Athletics"
"1","1920","Summer","José García Lorenzana","Boxing"
