"Year","Country","Video","Performer","Points","Host city"
"2003","France",""Fan"","Pascal Obispo","122","Turkey Istanbul"
"2004","Portugal",""Cavaleiro Monge"","Mariza","133","France Fontainebleau"
"2005","Ukraine",""I Will Forget You"","Svetlana Loboda","171","Portugal Lisbon"
"2006","Italy",""Contromano"","Nek","106","Turkey Izmir"
"2007","Russia",""LML"","Via Gra","198","Italy Florence"
"2008","Russia",""Potselui"","Via Gra","140","Russia Moscow"
"2009","Russia",""Karma"","Yin-Yang","142","Russia Saint Petersburg"
"2010","Poland",""Kim tu jestem"","Justyna Steczkowska","85","Russia Volgograd"
"2011","France",""Lonely Lisa"","Mylène Farmer","96","Poland Wrocław"
"2012","Italy",""È l'amore che conta"","Giorgia","135","France Paris"
"2013","Belgium",""Papaoutai"","Stromae","144","Italy Turin"
"2014","France",""Tourner dans le vide"","Indila","141","Belgium Brussels"
"2015","Germany",""Gäa"","Oonagh","122","France Paris"
"2016","United Kingdom",""Hymn For The Weekend"","Coldplay","673","Germany Lüneburg"
"2017","Belgium",""Mud Blood"","Loïc Nottet","184","United Kingdom London"
"2018","Czech Republic",""Me Gusta"","Mikolas Josef","132","Belgium"
