"Draw","Country","Artist","Song","Language","Place","Points"
"01","Netherlands","Hearts of Soul","%INLINEQ%Waterman%INLINEQ%","Dutch","7","7"
"02","Switzerland","Henri Dès","%INLINEQ%Retour%INLINEQ%","French","4","8"
"03","Italy","Gianni Morandi","%INLINEQ%Occhi di ragazza%INLINEQ%","Italian","8","5"
"04","Yugoslavia","Eva Sršen","%INLINEQ%Pridi, dala ti bom cvet%INLINEQ%","Slovene","11","4"
"05","Belgium","Jean Vallée","%INLINEQ%Viens l'oublier%INLINEQ%","French","8","5"
"06","France","Guy Bonnet","%INLINEQ%Marie-Blanche%INLINEQ%","French","4","8"
"07","United Kingdom","Mary Hopkin","%INLINEQ%Knock, Knock Who's There?%INLINEQ%","English","2","26"
"08","Luxembourg","David Alexandre Winter","%INLINEQ%Je suis tombé du ciel%INLINEQ%","French","12","0"
"09","Spain","Julio Iglesias","%INLINEQ%Gwendolyne%INLINEQ%","Spanish","4","8"
"10","Monaco","Dominique Dussault","%INLINEQ%Marlène%INLINEQ%","French","8","5"
"11","Germany","Katja Ebstein","%INLINEQ%Wunder gibt es immer wieder%INLINEQ%","German","3","12"
"12","Ireland","Dana","%INLINEQ%All Kinds of Everything%INLINEQ%","English","1","32"
