"Season","Category","Starts","1st","2nd","3rd","Total","Poles","Bike","Points","Position"
"2003","125cc","16","2","1","","3","","Aprilia","112","9"
"2002","125cc","16","3","2","","5","","Aprilia","180","4"
"2001","125cc","16","1","2","1","4","1","Aprilia","156","4"
"2000","125cc","16","","","","","","Honda","91","11"
"1999","125cc","16","","2","2","4","3","Honda","108","9"
"1998","125cc","13","1","","2","3","","Honda","130","5"
"1997","125cc","15","","","","","","Honda","73","14"
"1996","125cc","15","","","","","","Honda","59","15"
"1994","125cc","14","","","","","","Honda","5","30"
"1993","125cc","12","","","","","","","",""
