"","Player","Nation","Apps","Years","Club(s)"
"1","Iker Casillas","Spain","177","1999–","Real Madrid (150), Porto (27)"
"2","Cristiano Ronaldo","Portugal","162","2003–","Manchester United (52), Real Madrid (101), Juventus (9)"
"3","Xavi","Spain","151","1998–2015","Barcelona"
"4","Ryan Giggs","Wales","145","1993–2014","Manchester United"
"5","Raúl","Spain","142","1995–2011","Real Madrid (130), Schalke 04 (12)"
"6","Paolo Maldini","Italy","135","1988–2008","Milan"
"7","Lionel Messi","Argentina","133","2005–","Barcelona"
"8","Andrés Iniesta","Spain","130","2002–2018","Barcelona"
"9","Clarence Seedorf","Netherlands","125","1994–2012","Ajax (11), Real Madrid (25), Milan (89)"
"10","Paul Scholes","England","124","1994–2013","Manchester United"
