"Player Name","Caps","Starts","Nation","Time span"
"Sergio Parisse","69","69","Italy","2004–2019"
"Brian O'Driscoll","65","65","Ireland","2000–2014"
"Rory Best","64","55","Ireland","2006–2019"
"Ronan O'Gara","63","41","Ireland","2000–2013"
"Martin Castrogiovanni","60","44","Italy","2003–2016"
"Mike Gibson","56","56","Ireland","1964–1979"
"Gethin Jenkins","56","38","Wales","2003–2016"
"Ross Ford","55","42","Scotland","2006–2017"
"John Hayes","54","54","Ireland","2000–2010"
"Jason Leonard","54","49","England","1991–2004"
"Leonardo Ghiraldini","53","47","Italy","2007–2019"
"Alun Wyn Jones","53","51","Wales","2007–2019"
"Willie John McBride","53","53","Ireland","1962–1975"
"Chris Paterson","53","49","Scotland","2000–2011"
"Alessandro Zanni","52","43","Italy","2006–2019"
"Marco Bortolami","51","44","Italy","2002–2015"
"Paul O'Connell","51","47","Ireland","2002–2015"
"Martyn Williams","51","48","Wales","1998–2010"
"Stephen Jones","50","43","Wales","2000–2011"
"Philippe Sella","50","50","France","1983–1995"
"Rory Underwood","50","50","England","1984–1996"
