"#","Event year","Season","Flag bearer","Sport"
"15","2018","Winter","Zrnčić-Dim, NatkoNatko Zrnčić-Dim","Alpine skiing"
"14","2016","Summer","Pavić, JosipJosip Pavić","Water polo"
"13","2014","Winter","Kostelić, IvicaIvica Kostelić","Alpine skiing"
"12","2012","Summer","Losert, VenioVenio Losert","Handball"
"11","2010","Winter","Fak, JakovJakov Fak","Biathlon"
"10","2008","Summer","Balić, IvanoIvano Balić","Handball"
"9","2006","Winter","Kostelić, JanicaJanica Kostelić (3)","Alpine skiing"
"8","2004","Summer","Šimenc, DubravkoDubravko Šimenc","Water polo"
"7","2002","Winter","Kostelić, JanicaJanica Kostelić (2)","Alpine skiing"
"6","2000","Summer","Primorac, ZoranZoran Primorac","Table tennis"
"5","1998","Winter","Kostelić, JanicaJanica Kostelić","Alpine skiing"
"4","1996","Summer","Bukić, PericaPerica Bukić","Water polo"
"3","1994","Winter","Pavlek, VedranVedran Pavlek","Alpine skiing"
"2","1992","Summer","Ivanišević, GoranGoran Ivanišević","Tennis"
"1","1992","Winter","Čižmešija, TomislavTomislav Čižmešija","Figure skating"
