"Draw","Country","Artist","Song","Language","Place","Points"
"01","Austria","Blue Danube","%INLINEQ%Du bist Musik%INLINEQ%","German","8","64"
"02","Turkey","Ajda Pekkan","%INLINEQ%Pet'r Oil%INLINEQ%","Turkish","15","23"
"03","Greece","Anna Vissi and the Epikouri","%INLINEQ%Autostop%INLINEQ% (Ωτοστόπ)","Greek","13","30"
"04","Luxembourg","Sophie & Magaly","%INLINEQ%Papa pingouin%INLINEQ%","French","9","56"
"05","Morocco","Samira Bensaïd","%INLINEQ%Bitaqat Hub%INLINEQ% (بطاقة حب)","Arabic","18","7"
"06","Italy","Alan Sorrenti","%INLINEQ%Non so che darei%INLINEQ%","Italian","6","87"
"07","Denmark","Bamses Venner","%INLINEQ%Tænker altid på dig%INLINEQ%","Danish","14","25"
"08","Sweden","Tomas Ledin","%INLINEQ%Just nu!%INLINEQ%","Swedish","10","47"
"09","Switzerland","Paola","%INLINEQ%Cinéma%INLINEQ%","French","4","104"
"10","Finland","Vesa-Matti Loiri","%INLINEQ%Huilumies%INLINEQ%","Finnish","19","6"
"11","Norway","Sverre Kjelsberg & Mattis Hætta","%INLINEQ%Sámiid ædnan%INLINEQ%","Norwegian","16","15"
"12","Germany","Katja Ebstein","%INLINEQ%Theater%INLINEQ%","German","2","128"
"13","United Kingdom","Prima Donna","%INLINEQ%Love Enough for Two%INLINEQ%","English","3","106"
"14","Portugal","José Cid","%INLINEQ%Um grande, grande amor%INLINEQ%","Portuguese","7","71"
"15","Netherlands","Maggie MacNeal","%INLINEQ%Amsterdam%INLINEQ%","Dutch","5","93"
"16","France","Profil","%INLINEQ%Hé, hé, m'sieurs dames%INLINEQ%","French","11","45"
"17","Ireland","Johnny Logan","%INLINEQ%What's Another Year%INLINEQ%","English","1","143"
"18","Spain","Trigo Limpio","%INLINEQ%Quédate esta noche%INLINEQ%","Spanish","12","38"
"19","Belgium","Telex","%INLINEQ%Euro-Vision%INLINEQ%","French","17","14"
