"Year","Dates","No. of shows","No. of performances","Attendance","Venues","References"
"1994","June 23 – July 2","53","315","4,630","6",""
"1995","June 22 – July 3","≤50","400","5,500","5",""
"1996","June 20–30","46","250","4,464","5",""
"1997","June 19–29","35","—","4,300","5",""
"1998","July 30 – August 9","38","~200","6,573","6",""
"1999","July 29 – August 8","68","—","15,447","10",""
"2000","July 28 – August 6","100","500",">23,000","19",""
"2001","August 3–12","120","—","28,835","21",""
"2002","August 2–11","148",">675","32,000","14",""
"2003","August 1–10","162","783","40,500","20",""
"2004","August 6–15","176","900","43,836","24",""
"2005","August 4–14","168","855","44,630","20",""
"2006","August 3–13","165","890","44,814","23",""
"2007","August 2–12","162","872","37,752","23",""
"2008","July 31 – August 10","156","808","40,926","18",""
"2009","July 30 – August 9","162","843","46,189","22",""
"2010","August 5–15","169","876","50,256","15",""
"2011","August 4–14","168","865","48,350","18",""
"2012","August 2–12","164","840","48,432","15",""
"2013","August 1–11","177","897","50,007","16",""
"2014","July 31 – August 10","169","878","50,265","15",""
"2015","July 30 – August 9","174","909","50,338","24",""
"2016","August 4–14","168","869","47,882","19",""
"2017","August 3–13","167","850","46,076","17",""
"2018","August 2–12","138","694","~36,400","16",""
