"Name","Photo","Title","Date from","Date until"
"Andrey Yakovlevich Dashkov","","","1808","1817"
"Pyotr Ivanovich Poletika","-","","1817","1822"
"Fyodor van Tuyll van Serooskerken","-","","1822","1826"
"Pavel Kridener","","","1827","1837"
"Alexander Bodisko","","","1837","1854"
"Alexander Medem","","","1854","1855"
"Eduard de Stoeckl","-","","1855","1869"
"Konstantin Katakazi","","","1869","1872"
"Karl von Struve","","","1882","1892"
"Count Arthur Paul Nicholas Cassini","-","","1898","1905"
"Roman Rosen","-","","1905","1911"
"George Bakhmetev","-","","1911","1917"
