"Draw","Country","Artist","Song","Language","Place","Points"
"01","Ireland","Maria Christian","%INLINEQ%Wait Until the Weekend Comes%INLINEQ%","English","6","91"
"02","Finland","Sonja Lumme","%INLINEQ%Eläköön elämä%INLINEQ%","Finnish","9","58"
"03","Cyprus","Lia Vissi","%INLINEQ%To katalava arga%INLINEQ% (Το κατάλαβα αργά)","Greek","16","15"
"04","Denmark","Hot Eyes","%INLINEQ%Sku' du spørg' fra no'en?%INLINEQ%","Danish","11","41"
"05","Spain","Paloma San Basilio","%INLINEQ%La fiesta terminó%INLINEQ%","Spanish","14","36"
"06","France","Roger Bens","%INLINEQ%Femme dans ses rêves aussi%INLINEQ%","French","10","56"
"07","Turkey","MFÖ","%INLINEQ%Didai didai dai%INLINEQ%","Turkish","14","36"
"08","Belgium","Linda Lepomme","%INLINEQ%Laat me nu gaan%INLINEQ%","Dutch","19","7"
"09","Portugal","Adelaide","%INLINEQ%Penso em ti, eu sei%INLINEQ%","Portuguese","18","9"
"10","Germany","Wind","%INLINEQ%Für alle%INLINEQ%","German","2","105"
"11","Israel","Izhar Cohen","%INLINEQ%Olé, Olé%INLINEQ% (עולה, עולה)","Hebrew","5","93"
"12","Italy","Al Bano & Romina Power","%INLINEQ%Magic Oh Magic%INLINEQ%","Italian","7","78"
"13","Norway","Bobbysocks!","%INLINEQ%La det swinge%INLINEQ%","Norwegian","1","123"
"14","United Kingdom","Vikki","%INLINEQ%Love Is…%INLINEQ%","English","4","100"
"15","Switzerland","Mariella Farré & Pino Gasparini","%INLINEQ%Piano, piano%INLINEQ%","German","12","39"
"16","Sweden","Kikki Danielsson","%INLINEQ%Bra vibrationer%INLINEQ%","Swedish","3","103"
"17","Austria","Gary Lux","%INLINEQ%Kinder dieser Welt%INLINEQ%","German","8","60"
"18","Luxembourg","Margo, Franck Olivier, Diane Solomon, Ireen Sheer, Chris & Malcolm Roberts","%INLINEQ%Children, Kinder, Enfants%INLINEQ%","French","13","37"
"19","Greece","Takis Biniaris","%INLINEQ%Miazoume%INLINEQ% (Μοιάζουμε)","Greek","16","15"
