"Rank","Race Number","Name","Country","250 m Time","500 m Time"
"1","3","Anna Meares","Australia","19.164","33.952 WR"
"2","7","Jiang Yonghua","China","19.192","34.112"
"3","4","Natallia Tsylinskaya","Belarus","19.305","34.167"
"4","23","Simona Krupeckaitė","Lithuania","19.517","34.317"
"5","26","Yvonne Hijgenaar","Netherlands","19.519","34.532"
"6","16","Victoria Pendleton","Great Britain","19.696","34.626"
"7","6","Lori-Ann Muenzer","Canada","19.630","34.628"
"8","24","Nancy Contreras Reyes","Mexico","19.523","34.783"
"9","32","Svetlana Grankovskaya","Russia","19.739","34.797"
"10","21","Sayuri Osuga","Japan","19.704","35.045"
"11","17","Katrin Meinke","Germany","19.789","35.088"
"12","30","Tamilla Abassova","Russia","19.982","35.147"
