"Pos","No.","Driver","Car / engine","Laps","Time"
"1","4","Australia John Crouch","Delahaye 135MS / Delahaye 3.6L","35","1h 49m 25.2s"
"2","20","Australia Ray Gordon","MG TC Special / MG s/c 1.3L","35","1h 54m 12.2s"
"3","8","Australia Arthur Rizzo","Riley Special / Riley 1.5L","35","1h 56m 56.8s"
"4","19","Australia Peter Critchley","MG TB Special / MG 1.3L","35","1h 59m 40s"
"5","7","Australia Alan Larsen","Cadillac Special / Cadillac 5.7L","35","1h 59m 53s"
"6","29","Australia Curley Brydon","MG TC Special / MG 1.3L","35","2h 00m 08s"
"7","38","Australia Irwin Luke","Bugatti Type 37 / Bugatti","35","2h 07m 07.4s"
"8","24","Australia Theo Trevathan","Ford V8 Special / Ford 3.9L","35","2h 11m 14.4s"
"9","40","Australia H. McGuire","MG TC / MG 1.3L","35","2h 16m 53s"
"10","32","Australia Col Robinson","MG TC / MG 1.3L","35","2h 20m 59.6s"
"11","33","Australia Jack Wright","Ford V8 Special / Ford 4.0L","35","2h 24m 36.8s"
"Ret","36","Australia Vic Johnson","MG TC / MG 1.3L","27",""
"Ret","2","Australia Dick Bland","G Reed Ford Special / Ford 4.0L","26",""
"Ret","1","Australia Frank Kleinig","Hudson Special / Hudson 4.4L","21",""
"Ret","21","Australia John Nind","MG TB Special / MG 1.3L","20",""
"Ret","18","Australia Garry Coglan","MG TC Special / MG 1.3L","16",""
"Ret","34","Australia Ken Tubman","MG Magna / MG s/c 1.1L","12",""
"Ret","10","Australia Snow Sefton","Strathpine Special","11",""
"Ret","11","Australia Charlie Whatmore","Studebaker Special","10",""
"Ret","23","Australia Les Taylor","MG TC Special / MG 1.3L","10",""
"Ret","15","Australia Keith Thallon","Jaguar SS100 / SS 3.6L","10",""
"Ret","25","Australia Doug McDonald","Bugatti / Dodge","9",""
"Ret","9","Australia Keith Saunders","Cadillac Special","8",""
"Ret","5","Australia Rex Law","Buick Special","8",""
"Ret","17","Australia Dick Cobden","MG TC Special / MG 1.4L","6",""
"Ret","3","Australia Arthur Bowes","Hudson Special / Hudson","5",""
"Ret","6","Australia Ross Gray","GK Ford Special / Ford 4.0L","4",""
"Ret","22","Australia George Pearse","MG TB / MG 1.3L","2",""
