"Rank","Rider","Team","Speed","Time"
"1","United Kingdom Alec Bennett","Norton","68.41 mph (110.10 km/h)","3.51.42"
"2","Scotland Jimmie Guthrie","New Hudson","66.02","4.00.04"
"3","United Kingdom Tom Simister","Triumph","65.75","4.01.03"
"4","United Kingdom J W Shaw","Norton","64.83","4.04.28"
"5","United Kingdom Graham Walker","Sunbeam","64.72","4.04.52"
"6","United Kingdom Freddie Dixon","HRD","64.32","4.06.26"
"7","United Kingdom O Langton","New Hudson","64.04","4.07.29"
"8","United Kingdom Charlie Dodson","Sunbeam","63.77","4.08.23"
"9","United Kingdom George Rowley","AJS","63.74","4.08.40"
"10","United Kingdom W S Braidwood","P&M","62.94","4.11.50"
