"Year","Men's winner","Mark (m)","Women's winner","Mark (m)"
"1990","Sergey Bubka (UKR)","6.05","",""
"1991","Sergey Bubka (UKR)","6.11","",""
"1993","Sergey Bubka (UKR)","6.15","",""
"2004","Giuseppe Gibilisco (ITA)","5.82","Yelena Isinbayeva (RUS)","4.83"
"2005","Derek Miles (USA)","5.85","Yelena Isinbayeva (RUS)","4.87"
"2006","Paul Burgess (AUS)","5.80","Yelena Isinbayeva (RUS)","4.91"
"2007","Paul Burgess (AUS)","5.80","Yelena Isinbayeva (RUS)","4.93"
"2008","Maksym Mazuryk (UKR)","5.81","Yelena Isinbayeva (RUS)","4.95"
"2009","Steve Hooker (AUS)","5.92","Yelena Isinbayeva (RUS)","5.00"
"2010","Przemysław Czerwiński (POL)","5.82","Yelena Isinbayeva (RUS)","4.85"
"2011","Renaud Lavillenie (FRA)","5.93","Yelena Isinbayeva (RUS)","4.85"
"2012","Renaud Lavillenie (FRA)","5.82","Jiřina Ptáčníková (CZE)","4.70"
"2013","Renaud Lavillenie (FRA)","5.85","Yarisley Silva (CUB)","4.76"
"2014","Renaud Lavillenie (FRA)","6.16","Fabiana Murer (BRA)","4.62"
