"Pos","No.","Name","Lap 1 (mph)","Lap 2 (mph)","Lap 3 (mph)","Lap 4 (mph)","Average Speed (mph)"
"31","12","United States Deacon Litz","104.676","106.070","106.132","106.157","105.755"
"32","8","United States Babe Stapp","104.834","105.895","104.118","104.969","104.950"
"33","24","United States Dave Evans","97.171","97.434","98.993","96.681","97.342"
"34","21","United States Zeke Meyer (R)","94.997","95.470","94.777","96.195","95.357"
"35","48","United States Rick Decker","92.147","92.053","92.147","92.831","92.293"
"36","44","United States Bill Denver (R)","90.680","91.185","90.126","90.616","90.650"
"37","28","United States Roland Free (R)","89.419","89.552","89.686","89.901","89.639"
"38","46","United States Harry Butcher (R)","86.605","86.948","87.133","87.328","87.003"
"","37","United States Fred Roberts (R)","80.928","","","","Incomplete"
"","51","United States Rollin May (R)","77.640","","","","Incomplete"
