"No. overall","No. in season","Title","Directed by","Written by","Original air date","Prod. code","US viewers (millions)"
"26","1","%INLINEQ%Bitchcraft%INLINEQ%","Alfonso Gomez-Rejon","Ryan Murphy & Brad Falchuk","October 9, 2013","3ATS01","5.54"
"27","2","%INLINEQ%Boy Parts%INLINEQ%","Michael Rymer","Tim Minear","October 16, 2013","3ATS02","4.51"
"28","3","%INLINEQ%The Replacements%INLINEQ%","Alfonso Gomez-Rejon","James Wong","October 23, 2013","3ATS03","3.78"
"29","4","%INLINEQ%Fearful Pranks Ensue%INLINEQ%","Michael Uppendahl","Jennifer Salt","October 30, 2013","3ATS04","3.71"
"30","5","%INLINEQ%Burn, Witch. Burn!%INLINEQ%","Jeremy Podeswa","Jessica Sharzer","November 6, 2013","3ATS05","3.80"
"31","6","%INLINEQ%The Axeman Cometh%INLINEQ%","Michael Uppendahl","Douglas Petrie","November 13, 2013","3ATS06","4.16"
"32","7","%INLINEQ%The Dead%INLINEQ%","Bradley Buecker","Brad Falchuk","November 20, 2013","3ATS07","4.00"
"33","8","%INLINEQ%The Sacred Taking%INLINEQ%","Alfonso Gomez-Rejon","Ryan Murphy","December 4, 2013","3ATS08","4.07"
"34","9","%INLINEQ%Head%INLINEQ%","Howard Deutch","Tim Minear","December 11, 2013","3ATS09","3.94"
"35","10","%INLINEQ%The Magical Delights of Stevie Nicks%INLINEQ%","Alfonso Gomez-Rejon","James Wong","January 8, 2014","3ATS10","3.49"
"36","11","%INLINEQ%Protect the Coven%INLINEQ%","Bradley Buecker","Jennifer Salt","January 15, 2014","3ATS11","3.46"
"37","12","%INLINEQ%Go to Hell%INLINEQ%","Alfonso Gomez-Rejon","Jessica Sharzer","January 22, 2014","3ATS12","3.35"
"38","13","%INLINEQ%The Seven Wonders%INLINEQ%","Alfonso Gomez-Rejon","Douglas Petrie","January 29, 2014","3ATS13","4.24"
