"Rank","Team","Won","Lost","Pct.","Last World Series appearance","Total Games","Division"
"1","Toronto Blue Jays","8","4",".667","1993","12","AL East"
"2","Boston Red Sox","49","29",".628","2018","79","AL East"
"3","Miami Marlins","8","5",".615","2003","13","NL East"
"4","New York Yankees","134","91",".596","2009","225","AL East"
"5","Arizona Diamondbacks","4","3",".571","2001","7","NL West"
"6","Los Angeles Angels of Anaheim","4","3",".571","2002","7","AL West"
"7","Chicago White Sox","17","13",".567","2005","30","AL Central"
"8","Oakland Athletics","41","34",".547","1990","75","AL West"
"9","Baltimore Orioles","21","18",".538","1983","39","AL East"
"10","Kansas City Royals","13","12",".520","2015","25","AL Central"
"11","Cincinnati Reds","26","25",".510","1990","51","NL Central"
"12","San Francisco Giants","57","57",".500","2014","116","NL West"
"13","St. Louis Cardinals","58","60",".492","2013","118","NL Central"
"14","Pittsburgh Pirates","23","24",".489","1979","47","NL Central"
"15","Minnesota Twins","19","21",".475","1991","40","AL Central"
"16","Cleveland Indians","17","20",".459","2016","37","AL Central"
"17","Atlanta Braves","24","29",".453","1999","53","NL East"
"18","New York Mets","13","16",".448","2015","29","NL East"
"19","Milwaukee Brewers","3","4",".429","1982","7","NL Central"
"20","Detroit Tigers","27","37",".422","2012","65","AL Central"
"21","Los Angeles Dodgers","49","68",".419","2018","117","NL West"
"22","Chicago Cubs","23","36",".390","2016","60","NL Central"
"23","Philadelphia Phillies","14","23",".378","2009","37","NL East"
"24","Houston Astros","1","1",".364","2017","11","AL West"
"25","Texas Rangers","4","8",".333","2011","12","AL West"
"26","Tampa Bay Rays","1","4",".200","2008","5","AL East"
"27","San Diego Padres","1","8",".111","1998","9","NL West"
"28","Colorado Rockies","0","4",".000","2007","4","NL West"
"29","Seattle Mariners","0","0","–","never (franchise began 1977)","0","AL West"
"29","Washington Nationals","0","0","–","never (franchise began 1969)","0","NL East"
