"Rank","Bib","Name","Country","Run 1","Run 2","Best","Notes"
"","18","Jamie Anderson","United States","80.75","95.25","95.25",""
"","8","Enni Rukajärvi","Finland","73.75","92.50","92.50",""
"","1","Jenny Jones","Great Britain","73.00","87.25","87.25",""
"4","3","Sina Candrian","Switzerland","77.25","87.00","87.00",""
"5","17","Šárka Pančochová","Czech Republic","86.25","20.00","86.25",""
"6","22","Karly Shorr","United States","39.00","75.00","75.00",""
"7","11","Torah Bright","Australia","64.75","66.25","66.25",""
"8","5","Isabel Derungs","Switzerland","58.50","15.25","58.50",""
"9","20","Elena Könz","Switzerland","24.50","54.50","54.50",""
"10","14","Anna Gasser","Austria","49.00","51.75","51.75",""
"11","15","Silje Norendal","Norway","49.50","32.00","49.50",""
"12","4","Spencer O'Brien","Canada","30.00","35.00","35.00",""
