"Pos.","Driver","No.","Team","Car","Grid"
"1","Australia Allan Grice","3","Roadways Racing","Holden VK Commodore SS Group A","6"
"2","Australia George Fury","30","Peter Jackson Nissan Racing","Nissan Skyline DR30 RS","5"
"3","New Zealand Graeme Crosby","6","Bob Jane T-Marts","Holden VK Commodore SS Group A","2"
"4","Australia Larry Perkins","11","Enzed Team Perkins","Holden VK Commodore SS Group A","7"
"5","Australia John Harvey","7","Holden Dealer Team","Holden VK Commodore SS Group A","9"
"6","Australia Glenn Seton","15","Peter Jackson Nissan Racing","Nissan Skyline DR30 RS","3"
"7","Australia Graeme Bailey","2","Roadways Racing","Holden VK Commodore SS Group A","17"
"8","Australia Tony Longhurst","25","JPS Team BMW","BMW 325i","10"
"9","Australia Graham Moore","22","Strathfield Car Radios","Holden VK Commodore SS Group A","12"
"10","New Zealand Trevor Crowe","73","","BMW 635 CSi","13"
"DNF","Australia Peter Brock","05","Mobil Holden Dealer Team","Holden VK Commodore SS Group A","4"
"DNF","Australia Dick Johnson","17","Palmer Tube Mills","Ford Mustang GT","8"
"DNF","New Zealand Jim Richards","1","JPS Team BMW","BMW 635 CSi","1"
