"Year","Passengers","","Year","Passengers","","Year","Passengers"
"1991","6,181,251","","2001","11,416,579","","2011","9,266,570"
"1992","6,542,120","","2002","12,634,905","","2012","10,040,864"
"1993","7,493,782","","2003","13,548,363","","2013","9,742,887"
"1994","8,345,725","","2004","14,098,327","","2014","10,336,788"
"1995","9,834,869","","2005","14,417,575","","2015","11,205,063"
"1996","9,734,859","","2006","14,433,669","","2016","12,070,967"
"1997","9,144,806","","2007","14,613,489","","2017","13,072,245"
"1998","9,231,553","","2008","11,474,456","","2018","13,594,251"
"1999","9,879,518","","2009","9,505,281","","",""
"2000","10,620,798","","2010","9,542,333","","",""
