"Team","Head coach","Previous job","Years at school","Overall record","AAC record","AAC titles","NCAA Tournaments","NCAA Final Fours","NCAA Championships"
"Cincinnati","Mick Cronin","Murray State","11","237–135","56–16","1","7","0","0"
"Connecticut","Kevin Ollie","Connecticut (asst.)","5","113–61","42–30","0","2","1","1"
"East Carolina","Jeff Lebo","Auburn","7","114–118","16–38","0","0","0","0"
"Houston","Kelvin Sampson","Houston Rockets (asst.)","3","56–40","28–26","0","0","0","0"
"Memphis","Tubby Smith","Texas Tech","1","19–13","9–9","0","0","0","0"
"SMU","Tim Jankovich","SMU (asst.)","2","39–5","17–1","1","1","0","0"
"South Florida","Murry Bartow","South Florida (asst.)","1","1–16","1–15","0","0","0","0"
"Temple","Fran Dunphy","Penn","11","230–136","38–34","1","7","0","0"
"Tulane","Mike Dunleavy","n/a","1","6–25","3–15","0","0","0","0"
"Tulsa","Frank Haith","Missouri","3","58–40","34–20","0","1","0","0"
"UCF","Johnny Dawkins","Stanford","1","24–12","11–7","0","0","0","0"
