"No. overall","No. in season","Title","Directed by","Written by","Original air date","U.S. viewers (millions)"
"66","1","%INLINEQ%The Butterfly Effect (Part 1)%INLINEQ%","John Terlesky","Sheila Lawrence & Henry Alonso Myers","October 16, 2009","5.01"
"67","2","%INLINEQ%The Butterfly Effect (Part 2)%INLINEQ%","Victor Nelli, Jr.","Sheila Lawrence & Henry Alonso Myers","October 16, 2009","5.18"
"68","3","%INLINEQ%Blue on Blue%INLINEQ%","Victor Nelli, Jr","Abraham Higginbotham","October 23, 2009","4.55"
"69","4","%INLINEQ%The Weiner, the Bun, and the Boob%INLINEQ%","Wendey Stanzler","Brian Tanen","October 30, 2009","4.50"
"70","5","%INLINEQ%Plus None%INLINEQ%","Paul Holahan","Cara DiPaolo","November 6, 2009","4.76"
"71","6","%INLINEQ%Backseat Betty%INLINEQ%","John Putch","Tracy Poust & Jon Kinnally","November 13, 2009","4.46"
"72","7","%INLINEQ%Level (7) with Me%INLINEQ%","John Fortenberry","Chris Black","November 27, 2009","3.39"
"73","8","%INLINEQ%The Bahamas Triangle%INLINEQ%","Victor Neili, Jr.","Sheila Lawrence","December 4, 2009","4.23"
"74","9","%INLINEQ%Be-Shure%INLINEQ%","David Dworetzky","Gail Lerner","December 11, 2009","4.80"
"75","10","%INLINEQ%The Passion of the Betty%INLINEQ%","S.J. Clarkson","David Grubstick & Chris Black","January 6, 2010","5.13"
"76","11","%INLINEQ%Back in Her Place%INLINEQ%","Richard Heus","Abraham Higginbotham","January 13, 2010","4.67"
"77","12","%INLINEQ%Blackout!%INLINEQ%","John Putch","Cara DiPaolo","January 20, 2010","4.59"
"78","13","%INLINEQ%Chica and the Man%INLINEQ%","Victor Nelli, Jr.","Gail Lerner","February 3, 2010","4.34"
"79","14","%INLINEQ%Smokin' Hot%INLINEQ%","John Scott","Brian Tanen","February 10, 2010","4.68"
"80","15","%INLINEQ%Fire and Nice%INLINEQ%","John Terlesky","Erika Johnson","March 10, 2010","4.10"
"81","16","%INLINEQ%All the World's a Stage%INLINEQ%","Andy Wolk","Abraham Higginbotham & David Grubstick","March 17, 2010","3.33"
"82","17","%INLINEQ%Million Dollar Smile%INLINEQ%","Paul Holahan","Henry Alonso Myers & Chris Black","March 24, 2010","4.56"
"83","18","%INLINEQ%London Calling%INLINEQ%","Mark Worthington","David Grubstick & Sheila Lawrence","March 31, 2010","4.01"
"84","19","%INLINEQ%The Past Presents the Future%INLINEQ%","Paul Holahan","Jon Kinnaly & Tracy Poust","April 7, 2010","4.03"
"85","20","%INLINEQ%Hello Goodbye%INLINEQ%","Victor Nelli Jr.","Silvio Horta","April 14, 2010","5.43"
