"Year","Democrat","Votes","Republican","Votes"
"1946","Peter W. Rodino","38,889","Fred A. Hartley Jr. (Incumbent)","44,619"
"1948","Peter W. Rodino","58,668","Anthony Giuliano","52,868"
"1950","Peter W. Rodino","60,432","William H. Rawson","38,613"
"1952","Peter W. Rodino","78,612","Alexander Matturri","57,740"
"1954","Peter W. Rodino","62,384","William E. McGlynn","36,056"
"1956","Peter W. Rodino","71,311","G. George Addonizio","55,761"
"1958","Peter W. Rodino","60,482","G. George Addonizio","32,946"
"1960","Peter W. Rodino","84,859","Alphonse A. Miele","43,238"
"1962","Peter W. Rodino","62,616","Charles A. Baretski","22,819"
"1964","Peter W. Rodino","92,488","Raymond W. Schroeder","31,306"
"1966","Peter W. Rodino","71,699","Earl Harris","36,508"
"1968","Peter W. Rodino","89,109","Celestino Clemente","47,989"
"1970","Peter W. Rodino","71,003","Griffith H. Jones","30,460"
"1972","Peter W. Rodino","94,308","Kenneth C. Miller","23,949"
"1974","Peter W. Rodino","53,094","John R. Taliaferro","9,936"
"1976","Peter W. Rodino","88,245","Tony Grandison","17,129"
"1978","Peter W. Rodino","55,074","John L. Pelt","8,066"
"1980","Peter W. Rodino","76,154","Everett J. Jennings","11,778"
"1982","Peter W. Rodino","76,684","Timothy Lee Jr.","14,551"
"1984","Peter W. Rodino","111,244","Howard E. Berkeley","21,712"
"1986","Peter W. Rodino","46,666","Unopposed",""
