"#","Event","Entrants","Winner","Prize","Runner-up","Results"
"1","€1,100 No Limit Hold'em Monster Stack","561","Oleksandr Shcherbak","€117,707","Viliyan Petleshkov","Results"
"2","€550 Pot Limit Omaha","523","Andreas Klatt","€56,400","Nico Ehlers","Results"
"3","€1,100 No Limit Hold'em Super Turbo Bounty","325","Martin Kabrhel","€53,557","Philipp Caranica","Results"
"4","€1,650 No Limit Hold'em Six-Handed","240","Theodore McQuilkin","€88,043","Jan Bednar","Results"
"5","€550 The Colossus No Limit Hold'em","4,115","Matous Skorepa","€270,015","Florian Fuchs","Results"
"6","€2,200 Pot Limit Omaha","191","Lukas Zaskodny","€93,677","Allen Kessler","Results"
"7","€1,650 Pot Limit Omaha Hi-Lo 8 or Better","92","Chris Ferguson","€39,289","Stanislav Wright","Results"
"8","€1,100 Little One for One Drop No Limit Hold'em","868","Albert Hoekendijk","€170,764","Thomas Hofmann","Results"
"9","€25,000 No Limit Hold'em High Roller","113","Niall Farrell","€745,287","Benjamin Pollak","Results"
"10","€111,111 High Roller for One Drop No Limit Hold'em","132","Dominik Nitsche","€3,487,463","Andreas Eiler","Results"
"11","€10,350 No Limit Hold'em Main Event","529","Marti Roca De Torres","€1,115,207","Gianluca Speranza","Results"
