"01","Carondelet","21","Soulard","41","Cheltenham","61","Carr Square"
"02","Patch","22","Benton Park","42","Clayton/Tamm","62","Columbus Square"
"03","Holly Hills","23","McKinley Heights","43","Franz Park","63","Old North St. Louis"
"04","Boulevard Heights","24","Fox Park","44","Hi-Pointe","64","Near North Riverfront"
"05","Bevo Mill","25","Tower Grove East","45","Wydown/Skinker","65","Hyde Park"
"06","Princeton Heights","26","Compton Heights","46","Skinker/DeBaliviere","66","College Hill"
"07","Southampton","27","Shaw","47","DeBaliviere Place","67","Fairground"
"08","St. Louis Hills","28","Botanical Heights","48","West End","68","O'Fallon"
"09","Lindenwood Park","29","Tiffany","49","Visitation Park","69","Penrose"
"10","Ellendale","30","Benton Park West","50","Wells/Goodfellow","70","Mark Twain/I-70 Industrial"
"11","Clifton Heights","31","Gate District","51","Academy","71","Mark Twain"
"12","The Hill","32","Lafayette Square","52","Kingsway West","72","Walnut Park East"
"13","Southwest Garden","33","Peabody/Darst/Webbe","53","Fountain Park","73","North Point"
"14","North Hampton","34","LaSalle Park","54","Lewis Place","74","Baden"
"15","Tower Grove South","35","Downtown","55","Kingsway East","75","Riverview"
"16","Dutchtown","36","Downtown West","56","Greater Ville","76","Walnut Park West"
"17","Mount Pleasant","37","Midtown","57","The Ville","77","Grand Center"
"18","Marine Villa","38","Central West End","58","Vandeventer","78","Hamilton Heights"
"19","Gravois Park","39","Forest Park Southeast","59","JeffVanderLou","79","North Riverfront"
"20","Kosciusko","40","Kings Oak","60","St. Louis Place","",""
