"Year","Name","Hometown","Age","Talent","Placement at MAO Teen","Special scholarships at MAO Teen","Notes"
"2018","Cammy Heck","Sidney","17","Tap Dance","","",""
"2017","Alexa Baisch","Glendive","17","Dance","","",""
"2016","Faith Johnson","Helena","16","Vocal, “I’m Not Alone” from Carrie","","",""
"2015","Katee Orr","Missoula","17","Operatic Vocal","","",""
"2014","Haylee Storlie","Glendive","17","Lyrical Dance","","",""
"2013","Tessa Shelton","Billings","17","Vocal","","",""
"2012","Moira Shea","Helena","15","Vocal, %INLINEQ%Pulled%INLINEQ% from The Addams Family","","",""
"2011","Jalyssa Gorder","Sidney","15","Lyrical Dance","","",""
"2010","Amy Fox","Belgrade","15","Piano","Top 15","",""
"2009","Alysse Charlesworth","Glendive","15","Tap Dance","","","1st runner-up at Miss North Dakota 2018 pageant 1st runner-up at Miss Montana 2012 and 2016 pageants"
"2008","Victoria Valentine","Missoula","16","Vocal","","","Later Miss Montana 2014"
"2007","Chantel Bury","Glendive","16","Vocal","","","2nd runner-up at Miss Montana Teen USA 2009 pageant 3rd runner-up at Miss Montana 2009 and 2013 pageants"
"2006","Holly Matz","Missoula","16","Jump Rope Routine","","","2nd runner-up at Miss Montana USA 2008 pageant 1st runner-up at Miss Montana 2009 pageant Contestant at National Sweetheart 2009 pageant 3rd runner-up at Miss Montana USA 2011 pageant"
"2005","Jacqueline Irigoin","Lambert","17","Piano","","",""
