"Unit","Model","Built","Acquired","Retired","Status","Image"
"563","B40-8W","N/A","2011","N/A","Active Ex-BNSF.","B40-8WMooseJaw386.JPG"
"575","B40-8W","N/A","2011","N/A","Active Ex BNSF",""
"576","B40-8","1989","2017","N/A","Active Ex CSX",""
"2000","M420","1973","2000","N/A","Active","Day 3 234.JPG"
"2001","M420","1973","2001","N/A","Active","Day 3 335.JPG"
"2002","M420R","1974","2002","N/A","Active Ex P&W","Final day Day 4 020.JPG"
"2003","M420","1977","2008","N/A","Active Ex-Canadian National.",""
"2004","M420","1976","2008","2015","Not in Service - Water leaking issues. Ex-Canadian National.",""
"4062","B23-7","1979","2013","N/A","Active",""
"4064","B23-7","1979","2013","N/A","Active",""
