"Total number","Season number","Title","Air date in UK","Air date in Spain","Mill. of viewers (share)"
"1","1","%INLINEQ%Bienvenido a El Principe%INLINEQ%","18 January 2016","February 4, 2014","4.463 (21.9%)"
"2","2","%INLINEQ%Agua salada%INLINEQ%","25 January 2016","February 11, 2014","5.281 (26.2%)"
"3","3","%INLINEQ%Confía en mí%INLINEQ%","1 February 2016","February 18, 2014","5.404 (27.4%)"
"4","4","%INLINEQ%Haz lo que tengas que hacer%INLINEQ%","8 February 2016","February 25, 2014","5.224 (26.4%)"
"5","5","%INLINEQ%Circular 50%INLINEQ%","15 February 2016","March 4, 2014","5.204 (26.3%)"
"6","6","%INLINEQ%El escorpión%INLINEQ%","22 February 2016","March 11, 2014","5.555 (28.6%)"
"7","7","%INLINEQ%En el filo de la navaja%INLINEQ%","29 February 2016","March 18, 2014","5.244 (27.8%)"
"8","8","%INLINEQ%Pasar al otro lado%INLINEQ%","7 March 2016","March 25, 2014","5.19 (26.4%)"
"9","9","%INLINEQ%La noche más larga%INLINEQ%","14 March 2016","April 1, 2014","5.421 (27.7%)"
"10","10","%INLINEQ%El elegido%INLINEQ%","21 March 2016","April 8, 2014","5.006 (26%)"
"11","11","%INLINEQ%Enemigos y cómplices%INLINEQ%","28 March 2016","April 22, 2014","4.795 (25.7%)"
"12","12","%INLINEQ%Líneas paralelas%INLINEQ%","4 April 2016","April 29, 2014","4.77 (25.4%)"
"13","13","%INLINEQ%Fe ciega%INLINEQ%","11 April 2016","May 6, 2014","6.29 (33.3%)"
