"Pos.","Singles","Title","Sales*","Downloads","Title","Sales*"
"1","Christophe Willem","%INLINEQ%Double Je%INLINEQ%","306,500","Mika","%INLINEQ%Relax, Take It Easy%INLINEQ%","89,840"
"2","Koxie","%INLINEQ%Garçon%INLINEQ%","282,100","Christophe Willem","%INLINEQ%Double Je%INLINEQ%","62,690"
"3","Kamini","%INLINEQ%Marly-Gomont%INLINEQ%","196,500","Christophe Maé","%INLINEQ%On s'attache%INLINEQ%","51,760"
"4","Grégory Lemarchal","%INLINEQ%De temps en temps%INLINEQ%","189,400","David Guetta","%INLINEQ%Love Is Gone%INLINEQ%","45,210"
"5","Fiori, Goldman & Ricol","%INLINEQ%4 Mots sur un piano%INLINEQ%","162,800","Mika","%INLINEQ%Grace Kelly%INLINEQ%","42,280"
"6","Yannick Noah","%INLINEQ%Aux arbres citoyens%INLINEQ%","139,300","Vanessa Paradis","%INLINEQ%Divine idylle%INLINEQ%","39,160"
"7","Fatal Bazooka & Vitoo","%INLINEQ%Mauvaise foi nocturne%INLINEQ%","135,400","Rihanna","%INLINEQ%Don't Stop the Music%INLINEQ%","38,910"
"8","Mika","%INLINEQ%Relax, Take It Easy%INLINEQ%","133,600","Rihanna","%INLINEQ%Umbrella%INLINEQ%","36,630"
"9","Sheryfa Luna","%INLINEQ%Quelque part%INLINEQ%","124,400","Justice","%INLINEQ%D.A.N.C.E.%INLINEQ%","34,920"
"10","Fatal Bazooka","%INLINEQ%Fous ta cagoule%INLINEQ%","123,000","Koxie","%INLINEQ%Garçon%INLINEQ%","33,260"
