"No. overall","No. in season","Title","Hashtag","Original air date","Kantar Media Rating (nationwide)"
"142","1","Ligtas","#TALligtas","August 22, 2016","18.5%"
"143","2","Lusob","#TALlusob","August 23, 2016","16.9%"
"144","3","Binyag","#TALbinyag","August 24, 2016","17.8%"
"145","4","Hangarin","#TALhangarin","August 25, 2016","16.9%"
"146","5","Preparasyon","#TALpreparasyon","August 26, 2016","16.5%"
"147","6","Pasabog","#TALpasabog","August 29, 2016","18.6%"
"148","7","Kaligtasan","#TALkaligtasan","August 30, 2016","17.8%"
"149","8","Pagtutuos","#TALpagtutuos","August 31, 2016","17.3%"
"150","9","Dahas","#TALdahas","September 1, 2016","17.5%"
"151","10","Huling Pak","#TALhulingpak","September 2, 2016","21.6%"
