"Name","Feature film debut","Debut year","Films produced before 1949","Total films produced","Ref(s)."
"Ang Hock Liem","Kedok Ketawa","1940","6","6",""
"Balink, AlbertAlbert Balink","Pareh","1935","1","1",""
"Carli, Ph.Ph. Carli","De Stem des Bloeds","1930","3","3",""
"Heuveldorp, L.L. Heuveldorp","Loetoeng Kasaroeng","1926","1","1",""
"Jo Eng Sek","Si Tjonat","1929","6","6",""
"Jo Kim Tjan","Poei Sie Giok Pa Loei Tay","1935","6","6",""
"Krugers, G.G. Krugers","Karnadi Anemer Bangkong","1930","2","2",""
"Liem Goan Lian","Lily van Java","1928","1","1",""
"SI Liem","Djantoeng Hati","1941","1","1",""
"Tan Boen Soan","Setangan Berloemoer Darah","1928","1","1",""
"Tan Khoen Yauw","Njai Dasima","1929","15","15",""
"The Teng Chun","Boenga Roos dari Tjikembang","1931","28","30",""
"Tjan Hock Siong","Kris Mataram","1940","2","2",""
"Tjan Tjoen Lian","Lily van Java","1928","1","1",""
"Tjho Seng Han","Pantjawarna","1940","2","2",""
"Touw Ting Iem","Ikan Doejoeng","1941","3","5",""
"Wong, DavidDavid Wong","Lily van Java","1928","1","1",""
"Wong, JoshuaJoshua Wong","Lari ke Arab","1930","4","4",""
"Wong, NelsonNelson Wong","Si Tjonat","1928","6","6",""
"Wong, OthnielOthniel Wong","Lari ke Arab","1930","4","5",""
"Young, FredFred Young","Djantoeng Hati","1941","4","21",""
