"Rank","Heat","Lane","Name","Nationality","Time","Notes"
"1","4","4","Sun Yang","China","3:45.07","Q"
"2","4","5","Peter Vanderkaay","United States","3:45.80","Q"
"3","4","7","Conor Dwyer","United States","3:46.24","Q"
"4","3","4","Park Tae-hwan","South Korea","3:46.68","Q"
"5","3","2","Gergő Kis","Hungary","3:46.77","Q"
"6","4","3","Hao Yun","China","3:46.88","Q"
"7","3","5","Ryan Napoleon","Australia","3:47.01","Q"
"8","3","6","David Carry","Great Britain","3:47.25","Q"
"9","2","5","Ryan Cochrane","Canada","3:47.26",""
"10","4","6","Pál Joensen","Denmark","3:47.36",""
"11","2","3","Robert Renwick","Great Britain","3:47.44",""
"12","2","6","Mads Glæsner","Denmark","3:48.27",""
"13","2","4","Paul Biedermann","Germany","3:48.50",""
"14","3","3","David McKeon","Australia","3:48.57",""
"15","2","2","Matthew Stanley","New Zealand","3:49.44",""
"16","4","8","Cristian Quintero Valero","Venezuela","3:50.44",""
"17","3","1","Sergiy Frolov","Ukraine","3:50.63",""
"18","4","2","Samuel Pizzetti","Italy","3:50.93",""
"19","4","1","Dominik Meichtry","Switzerland","3:51.34",""
"20","2","7","Egor Degtyarev","Russia","3:52.33",""
"21","1","4","Mateusz Sawrymowicz","Poland","3:53.33",""
"22","3","8","Matias Koski","Finland","3:54.96",""
"23","2","8","Đorđe Marković","Serbia","3:55.35",""
"24","2","1","Juan Martin Pereyra","Argentina","3:56.76",""
"25","3","7","Heerden Herman","South Africa","3:57.28",""
"26","1","5","Mateo de Angulo Velasco","Colombia","3:57.76",""
"27","1","6","Ahmed Gebrel","Palestine","4:08.51",""
"28","1","3","Allan Gutierrez Castro","Honduras","4:09.10",""
