"Draw","Country","Artist","Song","Language","Place","Points"
"01","Netherlands","Michelle",""Out on My Own"","English","18","16"
"02","Iceland","Two Tricky",""Angel"","English","22","3"
"03","Bosnia and Herzegovina","Nino Pršeš",""Hano"","Bosnian, English","14","29"
"04","Norway","Haldor Lægreid",""On My Own"","English","22","3"
"05","Israel","Tal Sondak",""En Davar" (אין דבר)","Hebrew","16","25"
"06","Russia","Mumiy Troll",""Lady Alpine Blue"","English","12","37"
"07","Sweden","Friends",""Listen to Your Heartbeat"","English","5","100"
"08","Lithuania","SKAMP",""You Got Style"","English, Lithuanian","13","35"
"09","Latvia","Arnis Mednis",""Too Much"","English","18","16"
"10","Croatia","Vanna",""Strings of My Heart"","English","10","42"
"11","Portugal","MTM",""Só sei ser feliz assim"","Portuguese","17","18"
"12","Ireland","Gary O'Shaughnessy",""Without Your Love"","English","21","6"
"13","Spain","David Civera",""Dile que la quiero"","Spanish","6","76"
"14","France","Natasha St-Pier",""Je n'ai que mon âme"","French, English","4","142"
"15","Turkey","Sedat Yüce",""Sevgiliye Son"","Turkish, English","11","41"
"16","United Kingdom","Lindsay Dracass",""No Dream Impossible"","English","15","28"
"17","Slovenia","Nuša Derenda",""Energy"","English","7","70"
"18","Poland","Piasek",""2 Long"","English","20","11"
"19","Germany","Michelle",""Wer Liebe lebt"","German, English","8","66"
"20","Estonia","Tanel Padar, Dave Benton & 2XL",""Everybody"","English","1","198"
"21","Malta","Fabrizio Faniello",""Another Summer Night"","English","9","48"
"22","Greece","Antique",""Die for You"","Greek, English","3","147"
"23","Denmark","Rollo & King",""Never Ever Let You Go"","English","2","177"
