"No. overall","No. in season","Title","Directed by","Written by","Original air date","Prod. code"
"1","1","%INLINEQ%Sex and the City%INLINEQ%","Susan Seidelman","Darren Star","June 6, 1998","101"
"2","2","%INLINEQ%Models and Mortals%INLINEQ%","Alison Maclean","Darren Star","June 14, 1998","102"
"3","3","%INLINEQ%Bay of Married Pigs%INLINEQ%","Nicole Holofcener","Michael Patrick King","June 21, 1998","103"
"4","4","%INLINEQ%Valley of the Twenty-Something Guys%INLINEQ%","Alison Maclean","Michael Patrick King","June 28, 1998","104"
"5","5","%INLINEQ%The Power of Female Sex%INLINEQ%","Susan Seidelman","Story by : Jenji Kohan Teleplay by : Darren Star","July 5, 1998","105"
"6","6","%INLINEQ%Secret Sex%INLINEQ%","Michael Fields","Darren Star","July 12, 1998","106"
"7","7","%INLINEQ%The Monogamists%INLINEQ%","Darren Star","Darren Star","July 19, 1998","107"
"8","8","%INLINEQ%Three's a Crowd%INLINEQ%","Nicole Holofcener","Jenny Bicks","July 26, 1998","108"
"9","9","%INLINEQ%The Turtle and the Hare%INLINEQ%","Michael Fields","Nicole Avril & Susan Kolinsky","August 2, 1998","109"
"10","10","%INLINEQ%The Baby Shower%INLINEQ%","Susan Seidelman","Terri Minsky","August 9, 1998","110"
"11","11","%INLINEQ%The Drought%INLINEQ%","Matthew Harrison","Michael Green & Michael Patrick King","August 16, 1998","111"
"12","12","%INLINEQ%Oh Come All Ye Faithful%INLINEQ%","Matthew Harrison","Michael Patrick King","August 23, 1998","112"
