"Round","Pick","Player","Position","Nationality","Team (league)","Notes"
"1","22","Simon Gagne","Left Wing","Canada","Quebec Remparts (QMJHL)",""
"2","42","Jason Beckett","Defense","Canada","Seattle Thunderbirds (WHL)",""
"2","51","Ian Forbes","Defense","Canada","Guelph Storm (OHL)",""
"4","109","J. P. Morin","Defense","Canada","Drummondville Voltigeurs (QMJHL)",""
"5","124","Francis Belanger","Left Wing","Canada","Rimouski Océanic (QMJHL)",""
"5","139","Garrett Prosofsky","Center","Canada","Saskatoon Blades (WHL)",""
"6","168","Antero Niittymaki","Goaltender","Finland","TPS (SM-liiga)",""
"7","175","Cam Ondrik","Goaltender","Canada","Medicine Hat Tigers (WHL)",""
"7","195","Tomas Divisek","Right Wing","Czech Republic","HC Slavia Praha (CZE)",""
"8","222","Lubomir Pistek","Right Wing","Slovakia","Bratislava Slovan (Slovakia)",""
"9","243","Petr Hubacek","Center","Czech Republic","Brno Kometa (Czech)",""
"9","253","Bruno St. Jacques","Defense","Canada","Baie-Comeau Drakkar (QMJHL)",""
"9","258","Sergei Skrobot","Defense","Russia","Dynamo-2 Moscow (RUS)",""
