"Province","Quechua","Aymara","Asháninka","Another native language","Spanish","Foreign language","Deaf or mute","Total"
"Aija","2,807","3","","4","4,623","","8","7,445"
"Antonio Raymondi","12,073","17","","19","3,694","5","34","15,842"
"Asunción","6,854","3","","24","1,564","27","36","8,508"
"Bolognesi","4,473","19","6","87","24,374","10","29","28,998"
"Carhuaz","30,365","40","2","17","10,971","11","38","41,444"
"C.F Fitzcarrald","17,956","16","1","2","1,709","","77","19,761"
"Casma","5,517","29","2","13","34,299","6","42","39,908"
"Corongo","745","","","2","7,128","","14","7,889"
"Huaraz","50,570","116","12","37","88,410","133","99","139,377"
"Huari","45,830","59","6","32","12,619","9","166","58,721"
"Huarmey","1,695","10","2","7","24,521","2","14","26,251"
"Huaylas","28,772","18","5","4","21,422","7","69","50,297"
"M. Luzuriaga","19,687","19","1","1","1,841","1","95","21,645"
"Ocros","734","4","2","","7,932","2","12","8,686"
"Pallasca","84","1","5","49","26,958","4","46","27,147"
"Pomabamba","22,061","16","1","1","3,875","2","51","26,007"
"Recuay","6,587","13","1","1","11,450","4","28","18,084"
"Santa","9,005","105","36","274","365,507","138","365","375,430"
"Sihuas","10,520","13","1","4","17,965","1","60","28,564"
"Yungay","37,806","30","2","4","13,678","10","126","51,656"
"Total","314,141","531","85","582","684,540","372","1,409","1,001,660"
"%","31.36","0.05","0.01","0.06","68.34","0.04","0.14","100.00"
