"Pos","No","Entrant","Driver","Car","Time","Qual"
"1","05","HDT Racing Pty Ltd","Australia Peter Brock","Holden VK Commodore SS Group A","1:49.84","1:51.0"
"2","30","Peter Jackson Nissan Racing","Australia George Fury","Nissan Skyline DR30 RS","1:50.22","1:50.1"
"3","15","Peter Jackson Nissan Racing","Australia Gary Scott","Nissan Skyline DR30 RS","1:50.33","1:50.3"
"4","2","Valley View Poultry Pty Ltd","Australia Allan Grice","Holden VK Commodore SS Group A","1:50.66","?"
"5","3","HDT Racing Pty Ltd","Australia John Harvey","Holden VK Commodore SS Group A","1:51.26","?"
"6","6","Bob Jane T-Marts","New Zealand Graeme Crosby","Holden VK Commodore SS Group A","1:51.47","?"
"7","1","JPS Team BMW","New Zealand Jim Richards","BMW 635 CSi","1:51.49","1:51.9"
"8","17","Palmer Tube Mills","Australia Dick Johnson","Ford Mustang GT","1:51.95","1:51.9"
"9","4","Autoport Centre","Australia Peter McLeod","Holden VK Commodore SS Group A","1:53.05","1:53.3"
"10","36","Everlast Battery Service","Australia Murray Carter","Nissan Skyline DR30 RS","1:53.85","1:53.1"
