"LMS 1932/3 No.","LMS 1946 No.","BR No.","Date built","Date motor gear fitted","Withdrawn"
"6400","1900","41900","December 1932","September 1950","March 1962"
"6401","1901","41901","December 1932","February 1951","November 1959"
"6402","1902","41902","December 1932","September 1950","November 1959"
"6403","1903","41903","December 1932","September 1950","November 1959"
"6404","1904","41904","December 1932","September 1950","November 1959"
"6405","1905","41905","November 1932","January 1951","November 1959"
"6406","1906","41906","December 1932","March 1957","November 1959"
"6407","1907","41907","December 1932","March 1951","November 1959"
"6408","1908","41908","December 1932","July 1934","November 1959"
"6409","1909","41909","January 1933","March 1934","November 1959"
