"Week","Day","Date","Opponent","Result","Attendance"
"1","Thursday","July 11, 1974","at Jacksonville Sharks","L 7–14","59,112"
"2","Wednesday","July 17, 1974","Birmingham Americans","L 29–32","17,943"
"3","Thursday","July 25, 1974","at Philadelphia Bell","W 17–15","64,719"
"4","Wednesday","July 31, 1974","Jacksonville Sharks","W 24–16","15,648"
"5","Wednesday","August 7, 1974","at Southern California Sun","W 11–8","28,174"
"6","Wednesday","August 14, 1974","Portland Storm","W 38–16","16,222"
"7","Wednesday","August 21, 1974","Houston Texans","W 43–10","12,042"
"8","Wednesday","August 28, 1974","at Houston Texans","L 11–14","10,126"
"9","Monday","September 2, 1974","Philadelphia Bell","W 24–16","6,132"
"10","Friday","September 6, 1974","Florida Blazers","L 15–17","3,830"
"11","Wednesday","September 11, 1974","at Portland Storm","W 34–15","13,339"
"12","Wednesday","September 18, 1974","at Hawaiians","L 14–17","12,169"
"13","Tuesday","September 24, 1974","Detroit Wheels","W 37–7","4,220"
"14","Thursday","October 3, 1974†","at Chicago Fire","W 41–30","22,354"
"15","Wednesday","October 9, 1974‡","Memphis Southmen","L 23–27","25,133"
"16","Wednesday","October 16, 1974","Chicago Fire","W 27–0","20,333"
"17","Wednesday","October 23, 1974","Florida Blazers","L 11–15","23,613"
"18","Wednesday","October 30, 1974","Southern California Sun","L 25–34","19,436"
"19","Wednesday","November 6, 1974","at Shreveport Steamer","L 14–19","10,697"
"20","Wednesday","November 13, 1974","at Memphis Southmen","L 22–28","13,339"
