"No.","Event","Time","Meet","Location","Date","Age"
"1","1500 m freestyle","15:36.53","2013 World Championships","Barcelona, Spain","July 30, 2013","16"
"2","800 m freestyle","8:13.86","2013 World Championships","Barcelona, Spain","August 3, 2013","16"
"3","1500 m freestyle (2)","15:34.23","2014 TWST Senior Invitational","Shenandoah, Texas","June 19, 2014","17"
"4","800 m freestyle (2)","8:11.00","2014 TWST Senior Invitational","Shenandoah, Texas","June 22, 2014","17"
"5","400 m freestyle","3:58.86","2014 National Championships","Irvine, California","August 9, 2014","17"
"6","400 m freestyle (2)","3:58.37","2014 Pan Pacific Swimming Championships","Gold Coast, Australia","August 23, 2014","17"
"7","1500 m freestyle (3)","15:28.36","2014 Pan Pacific Swimming Championships","Gold Coast, Australia","August 24, 2014","17"
"8","1500 m freestyle (4)","15:27.71","2015 World Championships","Kazan, Russia","August 3, 2015","18"
"9","1500 m freestyle (5)","15:25.48","2015 World Championships","Kazan, Russia","August 4, 2015","18"
"10","800 m freestyle (3)","8:07.39","2015 World Championships","Kazan, Russia","August 8, 2015","18"
"11","800 m freestyle (4)","8:06.68","2016 Arena Pro Swim Series","Austin, Texas","January 17, 2016","18"
"12","400 m freestyle (3)","3:56.46","2016 Summer Olympics","Rio de Janeiro, Brazil","August 7, 2016","19"
"13","800 m freestyle (5)","8:04.79","2016 Summer Olympics","Rio de Janeiro, Brazil","August 12, 2016","19"
"14","1500 m freestyle (6)","15:20.48","2018 TYR Pro Swim Series","Indianapolis, Indiana","May 16, 2018","21"
