"Draw","Country","Artist","Song","Language","Place","Points"
"01","Serbia","Lena Stamenković","%INLINEQ%Lenina pesma%INLINEQ% (Ленина песма)","Serbian","7","79"
"02","Georgia","The Virus","%INLINEQ%Gabede%INLINEQ% (გაბედე)","Georgian","10","51"
"03","Slovenia","Lina Kuduzović","%INLINEQ%Prva ljubezen%INLINEQ%","Slovene, English","3","112"
"04","Italy","Chiara & Martina","%INLINEQ%Viva%INLINEQ%","Italian","16","34"
"05","Netherlands","Shalisa","%INLINEQ%Million Lights%INLINEQ%","Dutch, English","15","35"
"06","Australia","Bella Paige","%INLINEQ%My Girls%INLINEQ%","English","8","64"
"07","Ireland","Aimee Banks","%INLINEQ%Réalta na Mara%INLINEQ%","Irish","12","36"
"08","Russia","Mikhail Smirnov","%INLINEQ%Mechta (Dream)%INLINEQ% (Мечта)","Russian, English","6","80"
"09","Macedonia","Ivana Petkovska & Magdalena Aleksovska","%INLINEQ%Pletenka – Braid of Love%INLINEQ% (Плетенка)","Macedonian","17","26"
"10","Belarus","Ruslan Aslanov","%INLINEQ%Volshebstvo (Magic)%INLINEQ% (Волшебство)","Russian, English","4","105"
"11","Armenia","Mika","%INLINEQ%Love%INLINEQ%","Armenian, English","2","176"
"12","Ukraine","Anna Trincher","%INLINEQ%Pochny z sebe - Start with Yourself%INLINEQ% (Почни з себе)","Ukrainian, English","11","38"
"13","Bulgaria","Gabriela Yordanova & Ivan Stoyanov","%INLINEQ%Colour of Hope%INLINEQ%","Bulgarian","9","62"
"14","San Marino","Kamilla Ismailova","%INLINEQ%Mirror%INLINEQ%","Italian, English","14","36"
"15","Malta","Destiny Chukunyere","%INLINEQ%Not My Soul%INLINEQ%","English","1","185"
"16","Albania","Mishela Rapo","%INLINEQ%Dambaje%INLINEQ%","Albanian, English, Imaginary","5","93"
"17","Montenegro","Jana Mirković","%INLINEQ%Oluja%INLINEQ%","Montenegrin","13","36"
