"Gauge","Railway","Class","Works no.","Units","Year","Builder"
"3 ft","Ferrocarril Dorada, Colombia","","6843-6844","2","1938","Beyer, Peacock"
"1,000 mm","Midland of Buenos Aires, Argentina","","6570-6571","2","1929","Beyer, Peacock"
"1,000 mm","Leopoldina Railway, Brazil","","6572-6573","2","1929","Beyer, Peacock"
"1,000 mm","Leopoldina Railway, Brazil","","6845-6850","6","1937","Beyer, Peacock"
"1,000 mm","Leopoldina Railway, Brazil","","7026-7033","8","1943","Beyer, Peacock"
"1,000 mm","Vicoa Ferrea do Rio Grande do Sul, Brazil","","22047-22056","10","1931","Henschel"
"3 ft 6 in","New Zealand Government Railways","G","6484-6486","3","1928","Beyer, Peacock"
"3 ft 6 in","Nigerian Railways","","6781-6784","4","1935","Beyer, Peacock"
"3 ft 6 in","Nigerian Railways","","6796-6797","2","1936","Beyer, Peacock"
"3 ft 6 in","Nigerian Railways","","6861-6866","6","1937","Beyer, Peacock"
"3 ft 6 in","Nigerian Railways","","6927-6930","4","1939","Beyer, Peacock"
"3 ft 6 in","Nigerian Railways","","7051-7056","6","1943","Beyer, Peacock"
"3 ft 6 in","South African Railways","GF","10512-10548","37","1927","Hanomag"
"3 ft 6 in","South African Railways","GF","21053-21070","18","1928","Henschel"
"3 ft 6 in","South African Railways","GF","5748-5757","10","1928","Maffei"
"4 ft 8 1⁄2 in","PLM, Algeria","231-132.AT","2678","1","1932","Franco-Belge, France"
"4 ft 8 1⁄2 in","C.F.Algeria","231-132.BT","2697-2708","12","1936","Franco-Belge, France"
"4 ft 8 1⁄2 in","C.F.Algeria","231-132.BT","2711-2714","4","1937","Franco-Belge, France"
"4 ft 8 1⁄2 in","C.F.Algeria","231-132.BT","2725-2730","6","1939","Franco-Belge, France"
"4 ft 8 1⁄2 in","C.F.Algeria","231-132.BT","2741-2747","7","1940","Franco-Belge, France"
"5 ft 6 in","Central of Aragon, Spain","","191-196","6","1931","Euskalduna, Bilbao"
