"Wind farm","Capacity (MW)","Country","Turbines & model","Commissioned","Refs"
"Walney","659","United Kingdom","102 × 3.6 MW, 47 x Siemens Gamesa 7 MW, 40 x MHI Vestas V164 8.25Mw","2012",""
"London Array","630","United Kingdom","175 × Siemens SWT-3.6","2013",""
"Gemini Wind Farm","600","Netherlands","150 × Siemens SWT-4.0","2017",""
"Greater Gabbard wind farm","504","United Kingdom","140 × Siemens SWT-3.6","2012",""
"Anholt","400","Denmark","111 × Siemens 3.6-120","2013",""
"BARD Offshore 1","400","Germany","80 × BARD 5.0","2013",""
"Rampion Wind Farm","400","United Kingdom","116 x Vestas V112-3.45MW","2018",""
"Thorntonbank","325","Belgium","6 × REpower 5MW and 48 × REpower 6.15MW","2013",""
"Sheringham Shoal","315","United Kingdom","88 × Siemens 3.6-107","2012",""
"Thanet","300","United Kingdom","100 × Vestas V90-3MW","2010",""
