"Conf. Rank","Team","Head coach","AP final","AP high","Overall record","Conf. record","PPG","PAG","MVP"
"1","Minnesota","Murray Warmath","#1","#1","8–2","6–1","22.8","8.8","Tom Brown"
"2","Iowa","Forest Evashevski","#3","#1","8–1","5–1","26.0","12.0","Bernie Wyatt"
"3","Ohio State","Woody Hayes","#8","#3","7–2","5–2","23.2","10.0","Tom Matte"
"4","Michigan State","Duffy Daugherty","#15","#6","6–2–1","4–2","21.4","13.1","Tom Wilson"
"5 (tie)","Illinois","Pete Elliott","NR","#4","5–4","3–4","15.6","13.0","Joe Rutgens"
"5 (tie)","Michigan","Bump Elliott","NR","NR","5–4","3–4","14.8","9.3","Dennis Fitzgerald"
"5 (tie)","Northwestern","Ara Parseghian","NR","#6","5–4","3–4","11.9","11.4","Mike Stock"
"5 (tie)","Purdue","Jack Mollenkopf","#19","#7","4–4–1","3–4","23.6","18.1","Bernie Allen"
"9","Wisconsin","Milt Bruhn","NR","#11","4–5","2–5","16.4","20.3","Tom Wiesner"
"10","Indiana","Phil Dickens","NR","NR","1–8","0–7","7.7","27.0","Earl Faison"
