"Series","Episodes","Premiere","Finale","Viewers (in millions)","Notes"
"1","9","12 January 1999","9 March 1999","9.24",""
"2","16","25 November 1999","9 March 2000","8.98",""
"3","30","5 October 2000","5 June 2001","7.75",""
"4","52","9 October 2001","1 October 2002","7.51",""
"5","52","8 October 2002","30 September 2003","7.77",""
"6","52","7 October 2003","12 October 2004","7.69",""
"7","52","19 October 2004","11 October 2005","7.04",""
"8","52","18 October 2005","17 October 2006","6.50",""
"9","52","24 October 2006","9 October 2007","5.86",""
"10","53","16 October 2007","14 October 2008","5.62",""
"11","52","21 October 2008","13 October 2009","5.44",""
"12","55","20 October 2009","12 October 2010","5.62",""
"13","52","19 October 2010","11 October 2011","5.65",""
"14","52","18 October 2011","9 October 2012","4.92",""
"15","52","16 October 2012","8 October 2013","4.61",""
"16","52","15 October 2013","7 October 2014","4.38",""
"17","52","14 October 2014","6 October 2015","4.64",""
"18","52","13 October 2015","4 October 2016","4.53",""
"19","64","11 October 2016","19 December 2017","4.54",""
"20","52","2 January 2018","TBA","",""
