"Rank","Building","Image","Address","Height","Floors","Completed","Notes"
"1","Landmark Place","LandmarkPlaceHamilton.JPG","100 Main St. E.","130 m (427 ft)","43","1974",""
"2","20/22 George St.","","22 George St.","106 m (348 ft)","32","2019",""
"3","Stelco Tower","-","100 King St. W.","104 m (341 ft)","25","1973",""
"4","Olympia Apartments","OlympiaTowerHamilton.JPG","150 Charlton Ave. E.","98 m (322 ft)","33","1976",""
"5","Ellen Fairclough Building","EllenFaircloughBuildingA.JPG","119 King St. W.","92 m (302 ft)","20","1981",""
"6","BDC Building","BDCHamiltonBDC.JPG","25 Main St. W.","91.5 m (300 ft)","22","1971",""
"7","150 Main St. West","","150 Main St. West","90m (295 ft)","25","2016",""
"8","The Martinique","","155 Park St. S.","84 m (276 ft)","25","1984",""
"9","Commerce Place II","-","25 King St. W.","81 m (266 ft)","16","1990",""
"10","Commerce Place I","-","1 King St. E.","81 m (266 ft)","16","1987",""
"11","The Villager","","160 Market St.","80 m (260 ft)","25","1980",""
"12","Bay 200","","200 Bay St. S.","80 m (260 ft)","25","1975",""
"13","55 Hess Street South","","55 Hess St. S.","80 m (260 ft)","23","1989",""
"14","Queen's Terrace","QueensTerraceOxfordHeights.JPG","151 Queen St. N.","80 m (260 ft)","25","1974",""
"15","First Place Hamilton","WellingtonStreetNorthD.JPG","350 King St. E.","78 m (256 ft)","25","1976",""
"16","75 Queen North","","75 Queen St. N.","","22","",""
"17","Sheraton Hamilton","","116 King St. W.","76 m (249 ft)","19","1985",""
